Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,5072,116,80,251,344,525,19,871,100.00%,50.7,364.9,104.22
WelcomePing JSF,598,23,11,41,60,300,3,536,100.00%,6.0,50.0,50.32
Login JSF,598,39,14,102,191,393,3,550,100.00%,6.0,50.2,74.90
QuotesPing JSF,5782,19,13,37,50,130,3,614,100.00%,58.2,485.2,31.39
Portfolio,148,40,24,116,139,192,7,200,0.00%,19.2,87.5,42.16
Home,113,37,25,89,113,139,8,189,0.00%,14.8,67.8,33.40
Quotes,277,35,23,75,119,171,6,200,0.00%,35.2,160.9,35.09
Account,91,38,22,105,130,204,8,210,0.00%,11.6,53.1,43.69
Quotes JSF,6163,37,14,79,192,371,3,631,100.00%,62.1,517.4,71.96
Logout,46,65,28,161,183,223,10,223,0.00%,5.1,23.4,62.62
Account JSF,2124,38,14,90,198,361,3,624,100.00%,21.4,178.7,72.21
Home JSF,2870,40,14,99,219,386,3,624,100.00%,28.9,241.5,78.40
Buy,15,41,19,99,117,132,7,132,0.00%,2.6,12.0,41.28
HomePing JSF,732,20,12,36,48,220,3,442,100.00%,7.4,61.8,36.32
WS1 open close,1192,30,11,53,177,340,3,543,100.00%,12.0,.0,62.30
Logout JSF,732,32,13,57,139,311,3,624,100.00%,7.4,61.7,61.01
Portfolio JSF,2784,36,13,72,192,364,3,636,100.00%,28.1,234.9,69.97
QuotePing JSF,391,41,15,95,217,367,4,567,100.00%,4.0,33.3,76.15
PortfolioPing JSF,368,35,14,69,196,338,4,406,100.00%,3.7,31.2,64.99
Buy JSF,391,33,14,63,142,293,4,623,100.00%,4.0,33.2,64.37
Update Profile,14,33,22,81,81,104,11,104,0.00%,2.6,12.0,26.12
Update Profile JSF,320,39,14,91,206,373,4,447,100.00%,3.3,27.4,73.25
Register Page,10,6,5,13,13,22,2,22,0.00%,1.9,12.0,5.86
RegisterPing,160,18,11,34,41,195,3,233,100.00%,1.7,13.8,29.07
Register JSF,158,38,15,95,149,330,4,442,100.00%,1.7,13.8,68.94
Register,10,474,450,602,602,794,270,794,0.00%,1.6,13.6,154.46
TOTAL,31159,46,17,117,208,401,2,871,97.68%,311.7,2415.2,78.36
