Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,512,42,23,85,141,303,5,676,100.00%,5.1,42.7,64.45
Login,4030,192,145,360,546,773,22,1343,100.00%,40.2,288.9,152.64
Login JSF,511,61,31,137,225,383,5,743,100.00%,5.1,42.8,79.72
QuotesPing JSF,5561,46,26,89,141,415,4,921,100.00%,55.8,465.6,70.03
Quotes JSF,5931,64,33,153,226,444,4,3997,100.00%,59.6,497.0,99.73
Quotes,662,54,29,150,188,227,7,278,0.00%,23.8,108.6,56.27
Portfolio,283,55,30,152,191,232,8,265,0.00%,10.3,47.1,57.13
Home,256,44,29,112,152,196,7,224,0.00%,9.7,44.2,42.60
WS1 open close,1191,46,21,108,187,428,4,743,100.00%,12.0,.0,77.96
Account,191,48,29,107,189,232,8,267,0.00%,6.9,31.4,53.15
Logout,61,93,57,171,271,488,9,493,0.00%,2.1,9.6,99.81
Buy,45,48,27,109,186,225,8,225,0.00%,1.8,8.1,53.31
Home JSF,2705,62,31,147,230,464,4,1055,100.00%,27.4,228.3,92.80
Portfolio JSF,2644,64,31,166,241,453,4,800,100.00%,26.9,224.1,89.37
Account JSF,2033,64,31,162,238,485,4,847,100.00%,20.7,172.7,94.47
Update Profile,27,42,23,112,118,169,8,169,0.00%,1.0,4.8,41.99
PortfolioPing JSF,378,57,29,140,200,379,4,403,100.00%,3.9,32.4,71.15
QuotePing JSF,384,54,30,129,179,323,4,726,100.00%,3.9,32.9,73.73
HomePing JSF,634,50,27,101,163,452,4,544,100.00%,6.5,54.4,74.68
Buy JSF,383,65,33,147,256,451,4,532,100.00%,3.9,32.9,87.10
Logout JSF,633,67,33,173,249,478,5,563,100.00%,6.5,54.3,91.38
RegisterPing,160,53,32,101,168,373,4,705,100.00%,1.7,13.8,79.50
Register JSF,160,54,32,110,161,306,5,441,100.00%,1.7,13.8,64.50
Update Profile JSF,305,65,32,160,234,453,5,710,100.00%,3.2,26.4,91.69
Register Page,16,28,7,85,85,157,3,157,0.00%,.6,4.0,42.15
Register,16,482,475,637,723,812,251,812,0.00%,.6,5.1,151.26
TOTAL,29712,76,36,187,272,551,3,3997,94.76%,296.2,2267.2,108.24
