Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,4646,198,172,373,464,702,18,1079,100.00%,46.4,333.7,140.38
WelcomePing JSF,553,51,35,102,140,379,2,738,100.00%,5.6,46.6,66.99
Quotes,442,23,16,48,64,115,6,153,0.00%,34.1,155.7,21.26
Portfolio,206,23,16,44,68,104,5,147,0.00%,16.3,74.6,20.53
Home,190,20,17,38,45,69,5,112,0.00%,14.5,66.3,15.24
Login JSF,553,55,28,126,205,334,3,640,100.00%,5.6,46.8,73.76
Account,140,18,16,30,41,55,6,65,0.00%,10.9,50.0,10.47
QuotesPing JSF,5367,48,30,105,147,299,2,751,100.00%,54.0,450.5,58.20
Quotes JSF,5677,63,35,150,228,433,3,706,100.00%,57.2,477.0,82.70
Home JSF,2644,62,36,139,209,443,2,720,100.00%,26.7,222.6,81.16
WS1 open close,1048,50,24,130,204,361,3,523,100.00%,10.6,.0,71.20
Logout,54,37,23,62,100,188,7,198,0.00%,4.3,19.4,41.31
Account JSF,1993,63,36,148,225,396,3,719,100.00%,20.2,168.2,81.43
Portfolio JSF,2560,59,34,132,200,383,3,770,100.00%,25.9,216.1,77.55
Update Profile,16,17,14,28,35,54,6,54,0.00%,1.4,6.4,12.24
Buy,19,20,19,27,32,52,8,52,0.00%,1.7,7.6,9.29
HomePing JSF,680,52,30,112,161,448,3,690,100.00%,6.9,57.5,75.55
Logout JSF,678,60,37,135,181,368,3,661,100.00%,6.9,57.4,73.72
PortfolioPing JSF,379,63,33,143,244,399,4,703,100.00%,3.9,32.3,87.29
Register Page,10,8,3,10,10,40,2,40,0.00%,1.8,11.2,10.93
Update Profile JSF,288,62,31,142,241,415,4,706,100.00%,3.0,24.8,89.70
Register,10,307,273,403,403,629,161,629,0.00%,1.6,13.0,125.89
QuotePing JSF,320,65,35,149,226,478,4,656,100.00%,3.3,27.6,86.27
Buy JSF,318,61,33,133,216,396,3,743,100.00%,3.3,27.6,84.97
RegisterPing,155,47,31,98,156,253,5,304,100.00%,1.6,13.5,50.36
Register JSF,154,59,32,148,193,343,4,369,100.00%,1.6,13.5,72.73
TOTAL,29100,79,41,205,287,494,2,1079,96.26%,290.7,2243.1,102.70
