Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,1454,1999,531,1482,2586,16854,55,263841,100.00%,4.1,29.3,13384.06
Account,149,171,122,301,449,709,19,2592,0.00%,4.0,18.4,234.24
Quotes,458,167,120,280,469,762,16,2563,0.00%,12.5,56.9,226.98
Portfolio,218,178,116,329,595,1024,24,1845,0.00%,6.0,27.4,208.74
Home,186,178,119,284,527,1066,21,2592,0.00%,5.2,23.8,247.56
Logout,48,405,115,1408,1570,2463,20,2463,0.00%,1.3,6.1,606.64
Buy,34,103,88,195,196,229,18,229,0.00%,1.0,4.6,61.51
WelcomePing JSF,187,239,72,303,486,4441,5,8687,100.00%,2.1,17.3,835.05
Login JSF,187,661,98,376,609,8981,5,38770,100.00%,1.5,12.2,3891.23
Home JSF,794,812,85,371,602,4328,5,118255,100.00%,3.7,31.1,8159.30
QuotesPing JSF,1582,259,58,260,401,1370,5,113311,100.00%,7.6,63.2,3091.77
Quotes JSF,1679,480,83,329,497,2879,5,114685,100.00%,8.0,66.3,5586.88
Account JSF,590,207,85,323,483,2547,5,11106,100.00%,6.5,53.9,706.70
WS1 open close,363,192,84,365,588,2328,7,7409,100.00%,4.1,.0,499.15
Update Profile,18,103,75,140,263,288,33,288,0.00%,.5,2.5,67.63
Portfolio JSF,733,348,86,352,590,4329,6,43624,100.00%,5.5,46.1,2215.85
QuotePing JSF,101,258,81,316,761,4429,7,6781,100.00%,1.1,9.0,816.02
Buy JSF,100,201,61,337,491,850,6,7467,100.00%,1.1,8.9,746.63
PortfolioPing JSF,108,1328,86,413,535,12519,5,108815,100.00%,.5,4.6,10470.99
Update Profile JSF,82,121,71,292,330,706,7,1139,100.00%,1.2,9.8,167.56
HomePing JSF,209,668,67,330,598,4708,6,102392,100.00%,1.1,9.2,7073.29
Logout JSF,208,208,75,442,730,2624,7,4291,100.00%,2.4,19.8,456.71
Register Page,9,774,763,1612,1698,1698,13,1698,0.00%,.9,5.9,550.23
RegisterPing,45,203,101,373,747,1724,8,1724,100.00%,.6,5.3,324.58
Register JSF,45,414,114,303,2635,4425,11,4425,100.00%,.6,5.0,992.36
Register,9,13597,14481,14522,14552,14552,6400,14552,0.00%,.6,5.1,2544.82
TOTAL,9596,638,108,593,1013,4429,5,263841,88.23%,26.9,199.1,6581.06
