Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6207,42,20,41,225,365,10,7487,100.00%,62.1,446.6,126.03
WelcomePing JSF,749,27,3,6,10,47,2,14573,100.00%,7.5,62.8,534.60
Portfolio,230,9,8,15,21,44,4,76,0.00%,19.8,90.3,8.15
Quotes,472,9,8,15,21,40,4,59,0.00%,41.8,190.8,6.21
Home,217,10,8,16,27,36,4,45,0.00%,19.0,86.9,6.68
Login JSF,749,19,4,9,194,330,2,421,100.00%,7.5,62.9,61.71
QuotesPing JSF,7847,6,4,8,13,30,2,3894,100.00%,78.8,657.0,54.77
Account,132,9,8,16,17,35,4,48,0.00%,11.6,52.9,5.67
Quotes JSF,8393,23,4,11,167,350,2,7432,100.00%,84.4,703.1,143.01
Logout,53,12,9,22,27,33,4,69,0.00%,4.7,21.2,10.43
Buy,27,8,7,12,15,18,4,18,0.00%,2.7,12.6,3.10
WS1 open close,1673,22,4,9,198,333,2,1012,100.00%,16.9,.0,78.64
Portfolio JSF,3612,20,4,10,182,322,2,2168,100.00%,36.4,304.0,72.87
Account JSF,2906,25,4,12,205,339,2,3893,100.00%,29.4,245.1,111.05
Update Profile,22,7,6,11,12,18,4,18,0.00%,2.2,10.0,3.08
Home JSF,3914,23,4,10,200,356,2,2159,100.00%,39.6,330.7,88.39
HomePing JSF,921,8,4,9,15,33,2,1214,100.00%,9.4,78.1,56.60
Logout JSF,921,27,4,11,51,340,2,7431,100.00%,9.4,78.1,261.80
Register Page,11,2,2,3,3,4,1,4,0.00%,1.2,7.9,0.72
Update Profile JSF,427,21,4,12,180,318,2,1096,100.00%,4.4,36.5,78.41
PortfolioPing JSF,517,18,4,10,149,308,2,427,100.00%,5.3,44.3,57.53
QuotePing JSF,561,23,4,10,200,337,2,1025,100.00%,5.8,48.0,86.30
Register,11,96,94,125,125,187,49,187,0.00%,1.2,10.1,36.57
Buy JSF,559,23,4,12,215,353,2,541,100.00%,5.8,48.0,70.12
RegisterPing,207,5,4,8,16,27,2,46,100.00%,2.2,18.0,5.48
Register JSF,207,13,5,8,13,272,2,352,100.00%,2.2,18.0,42.46
TOTAL,41545,22,5,23,56,323,1,14573,97.17%,415.7,3212.1,128.83
