Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,765,8,4,8,11,60,2,1187,100.00%,7.7,63.9,50.47
Login,6505,45,22,45,218,431,10,2161,100.00%,65.1,467.9,101.77
Login JSF,765,18,4,10,78,290,2,2132,100.00%,7.7,63.9,92.58
QuotesPing JSF,7806,11,4,9,15,31,2,14846,100.00%,78.2,652.5,215.95
Portfolio,174,9,9,14,16,27,4,33,0.00%,17.8,81.2,4.21
Quotes,358,10,9,16,18,21,4,32,0.00%,34.5,157.6,4.12
Home,156,9,8,14,16,25,4,33,0.00%,15.4,70.2,4.30
Home JSF,3835,26,4,10,191,379,2,7559,100.00%,38.5,321.1,167.35
Portfolio JSF,3537,24,4,10,172,373,2,3938,100.00%,35.5,296.4,108.99
Quotes JSF,8247,26,4,11,178,386,2,14842,100.00%,82.8,689.7,192.75
Account,113,9,8,14,16,20,5,25,0.00%,11.1,50.9,3.79
PortfolioPing JSF,524,26,4,12,206,346,2,928,100.00%,5.3,44.1,92.29
Logout,50,12,9,23,28,33,5,33,0.00%,4.7,21.5,7.09
Account JSF,2811,24,4,10,175,385,2,3952,100.00%,28.3,236.3,117.99
Buy,24,9,8,16,16,20,6,20,0.00%,2.5,11.5,3.70
WS1 open close,1605,24,4,8,165,526,2,2129,100.00%,16.2,.0,117.36
HomePing JSF,950,5,4,9,14,29,2,51,100.00%,9.6,80.1,4.95
QuotePing JSF,457,19,5,10,145,289,2,894,100.00%,4.6,38.5,67.19
Update Profile,12,9,10,14,14,14,4,14,0.00%,1.4,6.5,3.08
Logout JSF,949,24,5,11,166,406,2,2088,100.00%,9.6,80.0,101.69
Buy JSF,455,42,5,12,219,405,2,7519,100.00%,4.6,38.5,360.42
Update Profile JSF,437,28,4,11,226,359,2,960,100.00%,4.4,37.0,102.79
Register Page,10,2,2,3,3,4,1,4,0.00%,1.1,7.2,0.78
Register,10,103,98,125,125,143,77,143,0.00%,1.1,9.2,19.49
RegisterPing,215,9,4,9,17,35,2,809,100.00%,2.2,18.7,54.92
Register JSF,215,17,4,10,15,284,2,795,100.00%,2.2,18.6,69.72
TOTAL,40985,25,5,25,86,347,1,14846,97.79%,409.7,3174.5,159.61
