Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,416,4537,3475,8376,11214,19356,343,22691,100.00%,3.6,26.0,3406.60
Quotes,491,732,533,1461,1986,2731,26,8530,0.00%,5.1,23.3,722.03
Portfolio,238,663,530,1364,1534,2338,32,3135,0.00%,2.8,12.7,491.65
Home,197,617,446,1334,1766,3125,25,4058,0.00%,2.2,10.3,612.45
Account,151,631,412,1324,2186,2645,41,3231,0.00%,1.9,8.8,609.33
Logout,48,3230,489,13613,13908,14540,52,14540,0.00%,.8,3.6,5276.69
Buy,32,380,354,651,672,1151,58,1151,0.00%,.6,2.7,225.08
WelcomePing JSF,43,971,480,2379,3475,5315,26,5315,100.00%,.5,4.3,1163.02
Login JSF,43,820,382,2869,3453,3740,24,3740,100.00%,.5,4.3,996.27
Update Profile,23,714,531,1732,1781,2111,95,2111,0.00%,.5,2.2,565.59
Home JSF,127,1002,368,2602,3401,8574,13,8838,100.00%,1.4,11.3,1570.08
QuotesPing JSF,250,883,309,2729,3439,6959,10,8943,100.00%,2.7,22.7,1446.63
Quotes JSF,262,955,379,2382,3456,6584,9,8423,100.00%,2.8,23.7,1350.81
Account JSF,84,1177,563,3164,3723,7248,12,8646,100.00%,.9,7.8,1658.51
WS1 open close,43,651,360,1676,2479,4619,15,4619,100.00%,.5,.0,863.67
HomePing JSF,36,631,288,1379,2320,3540,14,3540,100.00%,.5,3.8,889.43
Logout JSF,36,1116,450,3526,3660,6164,13,6164,100.00%,.4,3.6,1531.54
Portfolio JSF,108,1102,504,2657,4090,7252,11,7561,100.00%,1.3,10.6,1534.72
PortfolioPing JSF,17,456,112,715,1208,3473,23,3473,100.00%,.2,2.0,816.97
Register Page,10,97,41,107,107,481,10,481,0.00%,2.3,14.8,132.35
QuotePing JSF,18,1224,694,2680,3703,6242,10,6242,100.00%,.2,2.0,1585.46
Update Profile JSF,14,741,165,2387,2387,3700,23,3700,100.00%,.2,1.7,1067.95
Buy JSF,17,824,640,1645,1681,4932,18,4932,100.00%,.2,1.9,1147.77
RegisterPing,9,580,188,1103,2746,2746,14,2746,100.00%,.1,1.1,848.66
Register JSF,9,1289,91,3187,5879,5879,27,5879,100.00%,.1,1.0,1901.52
Register,10,15338,15703,16727,16727,16779,12471,16779,0.00%,.5,4.4,1290.45
TOTAL,2732,1469,598,3714,5634,13613,9,22691,56.08%,23.7,151.8,2410.39
