Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6495,38,20,37,207,308,10,4006,100.00%,65.0,467.1,93.65
Quotes,504,11,9,19,26,52,4,86,0.00%,21.3,97.2,9.18
Portfolio,271,9,8,16,20,31,4,40,0.00%,11.4,52.1,5.19
Home,206,10,9,16,21,46,4,63,0.00%,8.6,39.4,7.83
Account,181,8,8,14,16,20,4,25,0.00%,8.1,37.0,3.51
Logout,51,12,9,25,30,35,4,41,0.00%,2.1,9.8,8.45
Buy,33,10,9,15,17,22,6,22,0.00%,2.4,10.9,3.81
WelcomePing JSF,719,5,3,6,9,23,2,285,100.00%,7.3,60.5,16.76
Login JSF,718,25,4,10,179,248,2,3863,100.00%,7.2,60.4,160.02
Account JSF,2723,17,4,10,160,260,1,470,100.00%,27.5,229.4,53.35
QuotesPing JSF,7593,5,4,8,12,27,1,3863,100.00%,76.7,639.6,45.83
Quotes JSF,8129,19,4,11,175,264,2,3864,100.00%,82.2,684.9,81.75
Update Profile,25,9,8,14,16,18,6,18,0.00%,1.3,5.9,3.23
Home JSF,3601,17,4,10,156,264,2,497,100.00%,36.4,304.1,54.39
WS1 open close,1514,18,4,9,168,262,2,1286,100.00%,15.3,.0,63.58
Portfolio JSF,3350,19,4,10,169,269,2,3983,100.00%,34.0,283.6,87.34
HomePing JSF,884,5,4,8,11,27,1,223,100.00%,9.0,75.2,8.60
Logout JSF,884,19,4,11,168,280,2,497,100.00%,9.0,75.0,57.43
Register Page,11,3,2,4,4,14,1,14,0.00%,2.0,13.0,3.49
PortfolioPing JSF,484,18,5,10,147,263,2,494,100.00%,5.0,41.4,56.20
Update Profile JSF,401,32,4,10,198,291,2,3863,100.00%,4.1,34.3,202.67
Register,11,88,83,116,116,131,60,131,0.00%,2.0,16.6,19.21
QuotePing JSF,538,19,4,12,172,258,2,295,100.00%,5.6,46.4,52.34
Buy JSF,537,13,4,10,16,222,2,241,100.00%,5.6,46.6,40.59
RegisterPing,196,6,4,7,18,33,2,174,100.00%,2.1,17.3,13.06
Register JSF,196,22,5,10,202,298,2,488,100.00%,2.1,17.2,67.28
TOTAL,40255,18,5,23,56,265,1,4006,96.79%,402.6,3108.5,74.70
