Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,5695,100,64,212,333,572,15,994,100.00%,57.0,409.8,112.69
WelcomePing JSF,667,18,9,30,44,204,2,601,100.00%,6.7,55.7,44.93
Login JSF,666,41,10,42,164,393,3,7549,100.00%,6.7,55.8,299.97
Quotes,474,20,15,40,54,86,5,152,0.00%,35.1,160.4,17.73
Home,181,20,15,38,49,83,5,176,0.00%,13.8,62.9,18.96
QuotesPing JSF,6903,18,10,32,44,119,2,3919,100.00%,69.4,578.6,60.27
Portfolio,217,20,16,38,48,79,5,101,0.00%,17.0,77.8,16.17
Account,144,20,15,35,59,96,5,98,0.00%,10.6,48.4,15.83
Quotes JSF,7357,33,11,45,179,446,2,3919,100.00%,74.0,617.0,96.03
Logout,49,34,22,73,110,264,7,264,0.00%,3.6,16.6,42.53
Account JSF,2559,40,11,44,201,455,2,15593,100.00%,25.8,215.0,318.96
Buy,34,18,14,36,38,91,6,91,0.00%,2.8,12.6,16.30
WS1 open close,1491,32,9,33,195,440,2,933,100.00%,15.0,.0,88.79
Portfolio JSF,3303,35,10,50,208,447,2,913,100.00%,33.4,278.3,88.12
Home JSF,3429,32,11,43,191,427,2,947,100.00%,34.7,289.2,81.41
PortfolioPing JSF,450,28,10,38,160,436,3,526,100.00%,4.6,38.2,67.61
Update Profile,22,17,13,30,41,43,5,43,0.00%,2.6,11.9,10.74
Update Profile JSF,382,39,11,51,224,517,2,733,100.00%,3.9,32.4,98.69
HomePing JSF,802,15,10,30,39,65,2,454,100.00%,8.2,68.1,24.31
Logout JSF,798,34,10,43,190,475,2,863,100.00%,8.1,67.9,88.19
Register Page,8,7,5,10,23,23,2,23,0.00%,.8,4.9,6.34
QuotePing JSF,461,25,11,39,106,314,3,445,100.00%,4.7,39.6,57.24
Buy JSF,461,31,11,48,200,381,3,452,100.00%,4.7,39.6,69.34
Register,8,332,317,416,453,453,152,453,0.00%,.7,6.2,91.74
RegisterPing,168,19,9,33,45,102,3,493,100.00%,1.7,14.6,53.63
Register JSF,168,36,10,50,194,422,3,911,100.00%,1.7,14.5,98.45
TOTAL,36897,40,13,81,181,452,2,15593,96.92%,369.2,2846.7,126.74
