Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6484,43,20,39,234,388,10,7609,100.00%,64.9,466.4,127.97
WelcomePing JSF,755,6,3,7,8,25,2,349,100.00%,7.6,63.0,24.88
Quotes,559,16,8,18,27,74,4,1008,0.00%,35.5,162.3,70.39
Login JSF,754,22,4,11,174,326,2,991,100.00%,7.6,63.2,85.32
Home,226,24,9,19,25,948,4,1008,0.00%,14.6,66.6,111.90
Portfolio,271,24,9,17,21,944,4,1014,0.00%,17.9,81.6,116.69
QuotesPing JSF,7786,6,4,8,13,32,1,3819,100.00%,78.3,652.7,45.07
Account,160,28,9,16,21,935,4,1002,0.00%,11.0,50.1,129.03
Portfolio JSF,3734,21,4,10,182,321,2,1025,100.00%,37.6,313.4,74.49
Quotes JSF,8286,24,5,11,176,332,2,14529,100.00%,83.4,694.8,194.28
Buy,38,8,7,15,17,21,4,21,0.00%,2.6,12.0,4.12
Account JSF,2838,29,5,11,210,353,2,14528,100.00%,28.6,238.9,285.23
WS1 open close,1609,34,4,9,168,346,2,14532,100.00%,16.2,.0,414.00
Logout,55,11,9,18,21,24,4,39,0.00%,3.6,16.3,6.14
Home JSF,3934,25,4,11,197,338,2,7490,100.00%,39.8,331.7,156.61
HomePing JSF,921,14,4,8,11,34,2,7787,100.00%,9.3,77.7,256.86
Logout JSF,919,38,5,12,203,348,2,7745,100.00%,9.3,77.5,362.42
Update Profile,22,8,7,14,15,15,4,15,0.00%,1.9,8.7,3.53
PortfolioPing JSF,537,20,4,10,151,298,2,1011,100.00%,5.5,45.9,71.40
QuotePing JSF,509,27,4,15,218,389,2,991,100.00%,5.2,43.4,87.48
Register Page,14,2,2,4,4,10,1,10,0.00%,1.1,7.3,2.24
Buy JSF,506,19,4,10,188,293,2,510,100.00%,5.2,43.2,61.15
Register,14,73,71,104,104,116,46,116,0.00%,1.1,9.3,19.66
Update Profile JSF,426,28,5,13,199,437,2,1014,100.00%,4.4,36.5,102.40
RegisterPing,203,5,4,11,13,30,2,41,100.00%,2.1,17.5,5.47
Register JSF,202,10,4,9,12,211,2,439,100.00%,2.1,17.5,37.99
TOTAL,41762,23,5,23,83,325,1,14532,96.75%,417.7,3224.3,174.89
