Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,660,17,7,30,57,183,2,665,100.00%,6.6,55.2,49.06
Login,5574,104,46,269,447,756,14,2106,100.00%,55.7,400.4,152.31
Login JSF,660,36,8,46,170,586,3,2071,100.00%,6.6,55.2,122.04
Quotes,403,17,13,34,52,80,5,91,0.00%,45.3,206.8,15.09
Account,121,14,12,27,32,44,5,64,0.00%,13.1,59.7,9.67
QuotesPing JSF,6794,23,8,33,54,306,2,7470,100.00%,68.2,569.0,153.62
Portfolio,185,16,13,30,39,67,5,123,0.00%,20.5,93.8,13.77
Home,169,16,12,32,45,75,5,84,0.00%,18.6,84.7,13.49
Quotes JSF,7231,42,9,58,256,609,2,7476,100.00%,72.7,606.2,156.16
Portfolio JSF,3245,37,8,53,159,538,2,7475,100.00%,32.7,272.6,165.84
WS1 open close,1456,34,7,37,217,547,2,1018,100.00%,14.7,.0,105.10
Logout,55,27,20,55,73,78,6,93,0.00%,6.1,28.0,21.07
Buy,31,16,15,25,29,58,7,58,0.00%,4.0,18.5,10.67
Account JSF,2534,41,8,64,258,619,2,2075,100.00%,25.6,213.4,119.77
PortfolioPing JSF,456,48,9,66,333,617,2,2089,100.00%,4.6,38.4,154.02
Home JSF,3479,38,9,55,213,585,2,1035,100.00%,35.2,293.5,110.20
QuotePing JSF,443,34,8,53,232,482,2,625,100.00%,4.5,37.4,90.07
Update Profile,22,14,13,22,25,34,6,34,0.00%,4.3,19.5,7.01
Buy JSF,441,34,8,44,177,521,3,875,100.00%,4.5,37.4,96.83
Update Profile JSF,389,35,9,43,136,537,3,762,100.00%,4.0,33.2,98.63
HomePing JSF,821,20,8,35,53,338,2,618,100.00%,8.4,70.1,57.06
Logout JSF,821,38,9,56,204,601,2,1049,100.00%,8.4,70.0,110.27
Register Page,12,3,3,6,6,6,2,6,0.00%,2.0,12.6,1.38
Register,12,215,194,311,311,326,130,326,0.00%,1.9,15.9,57.18
RegisterPing,190,29,8,39,62,283,3,2077,100.00%,2.0,16.6,153.74
Register JSF,190,28,9,48,80,443,3,464,100.00%,2.0,16.6,71.66
TOTAL,36394,45,10,77,224,601,2,7476,97.22%,363.6,2809.5,141.40
