Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,427,92,71,198,251,358,4,459,100.00%,4.3,35.8,77.24
Login,3427,315,291,533,630,776,22,1169,100.00%,34.3,246.3,159.32
Login JSF,427,99,79,216,245,307,4,411,100.00%,4.3,35.8,77.67
Home,202,47,25,111,192,251,5,318,0.00%,7.4,34.0,55.88
Quotes,473,47,26,114,155,233,5,359,0.00%,19.1,87.2,51.56
QuotesPing JSF,4188,86,65,186,233,325,4,674,100.00%,42.0,350.5,71.59
Portfolio,246,43,24,98,141,281,5,380,0.00%,8.8,40.2,51.97
Account,143,45,24,98,148,329,5,451,0.00%,5.2,23.8,59.14
Quotes JSF,4462,103,80,224,262,332,3,512,100.00%,44.9,373.8,79.44
PortfolioPing JSF,268,99,71,213,252,338,5,423,100.00%,2.7,22.6,82.62
Portfolio JSF,1909,100,78,212,254,338,4,570,100.00%,19.2,160.4,78.48
Buy,20,44,24,68,119,263,8,263,0.00%,.8,3.7,56.38
Home JSF,2041,101,80,216,252,349,3,536,100.00%,20.6,171.7,78.18
Logout,60,86,32,222,242,310,5,651,0.00%,2.2,9.9,109.51
Account JSF,1514,102,79,215,257,369,5,488,100.00%,15.3,128.0,80.09
Update Profile,23,39,29,87,92,107,9,107,0.00%,3.5,15.8,28.98
WS1 open close,877,86,62,193,248,340,4,574,100.00%,8.9,.0,77.77
Update Profile JSF,233,98,75,217,237,292,4,461,100.00%,2.4,19.7,76.35
QuotePing JSF,281,99,80,208,247,310,7,354,100.00%,2.9,23.9,74.09
HomePing JSF,508,84,66,188,230,307,4,388,100.00%,5.2,43.5,68.75
Buy JSF,278,103,85,210,264,321,5,506,100.00%,2.8,23.8,79.79
Logout JSF,508,103,81,220,257,354,4,423,100.00%,5.2,43.5,78.55
Register Page,15,15,6,30,56,76,3,76,0.00%,1.9,12.2,21.18
Register,15,749,557,1184,1303,1708,450,1708,0.00%,1.7,14.4,364.00
RegisterPing,111,70,53,140,166,282,8,423,100.00%,1.2,9.8,60.42
Register JSF,111,98,77,208,227,320,5,388,100.00%,1.2,9.8,73.98
TOTAL,22767,127,86,284,372,596,3,1708,94.74%,227.6,1741.3,124.46
