Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,4228,189,62,378,683,1659,14,7866,100.00%,42.3,304.0,461.95
WelcomePing JSF,514,21,8,45,73,181,2,1273,100.00%,5.2,43.2,63.66
Quotes,437,151,112,309,415,667,9,864,0.00%,12.3,56.0,129.81
Portfolio,221,155,108,312,443,670,20,1774,0.00%,5.9,26.9,166.18
Home,202,142,96,290,363,687,20,1060,0.00%,5.8,26.3,134.84
Login JSF,514,33,11,85,131,429,2,642,100.00%,5.3,43.8,73.15
Portfolio JSF,2482,43,10,71,139,504,2,4071,100.00%,25.3,211.3,220.23
Account,152,132,92,268,319,506,8,586,0.00%,4.5,20.6,101.61
QuotesPing JSF,5277,20,9,41,75,199,2,795,100.00%,53.9,449.6,45.32
Quotes JSF,5615,36,10,73,135,475,2,4070,100.00%,57.5,479.1,140.83
Logout,51,129,104,204,291,494,26,499,0.00%,1.4,6.5,100.31
Buy,25,153,139,294,327,355,39,355,0.00%,1.1,5.0,91.21
Update Profile,21,156,108,437,449,470,37,470,0.00%,.7,3.0,131.11
WS1 open close,1097,38,9,68,154,533,2,3177,100.00%,11.4,.0,140.87
Account JSF,1918,34,10,71,124,484,3,3977,100.00%,20.0,166.9,119.94
Home JSF,2579,36,9,68,125,461,2,4014,100.00%,27.0,225.0,165.60
QuotePing JSF,347,32,10,60,143,456,3,539,100.00%,3.6,30.4,73.08
PortfolioPing JSF,359,41,10,75,121,490,2,3937,100.00%,3.8,31.7,217.58
HomePing JSF,632,22,9,41,66,250,2,982,100.00%,6.7,55.9,61.90
Buy JSF,346,42,10,65,126,516,2,3385,100.00%,3.6,30.4,197.60
Logout JSF,632,46,11,82,158,557,2,4048,100.00%,6.7,55.6,193.72
RegisterPing,148,25,11,45,111,230,3,328,100.00%,1.6,13.1,45.16
Register JSF,148,31,10,73,110,444,3,489,100.00%,1.6,13.1,65.47
Update Profile JSF,279,29,10,68,108,250,3,616,100.00%,3.0,25.3,64.67
Register Page,11,909,961,1552,1552,1607,31,1607,0.00%,.8,4.9,521.75
Register,11,4474,4828,4853,4853,4863,950,4863,0.00%,.8,6.7,1114.74
TOTAL,28246,63,13,131,242,687,2,7866,96.00%,282.6,2174.3,244.36
