Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,5820,103,56,188,349,739,14,14651,100.00%,58.2,418.6,266.36
WelcomePing JSF,687,24,9,34,47,316,3,2117,100.00%,6.9,57.4,99.10
Quotes,465,16,11,29,47,93,5,165,0.00%,43.8,199.9,17.20
Home,185,18,13,33,54,95,5,121,0.00%,17.2,78.7,18.04
Login JSF,687,37,10,40,141,621,3,1295,100.00%,6.9,57.6,122.60
Portfolio,208,17,12,32,46,120,5,131,0.00%,18.9,86.5,17.88
Account,148,15,11,29,33,85,5,91,0.00%,13.6,62.3,13.16
QuotesPing JSF,6866,21,10,34,49,132,2,4160,100.00%,69.0,575.7,99.03
Quotes JSF,7293,36,11,50,158,523,2,7453,100.00%,73.4,612.0,129.07
Portfolio JSF,3191,38,10,53,211,550,2,1270,100.00%,32.2,268.4,103.70
Logout,53,16,12,28,42,47,6,56,0.00%,4.9,22.6,10.74
Account JSF,2433,42,10,51,205,607,3,7474,100.00%,24.5,204.7,190.04
HomePing JSF,864,16,9,34,45,94,3,493,100.00%,8.7,72.8,30.58
Buy,29,11,10,18,28,33,6,33,0.00%,4.6,21.0,6.55
Logout JSF,862,37,11,54,194,476,2,2117,100.00%,8.7,72.8,117.28
Update Profile,23,12,12,18,25,25,6,25,0.00%,2.4,10.9,5.03
Home JSF,3420,40,10,50,227,595,2,2116,100.00%,34.8,290.7,120.90
WS1 open close,1404,33,8,33,160,565,2,1284,100.00%,14.3,.0,101.95
QuotePing JSF,435,33,10,43,148,518,3,865,100.00%,4.4,37.1,90.48
Buy JSF,433,47,11,46,73,505,3,7453,100.00%,4.5,37.2,367.55
Register Page,9,4,3,7,9,9,2,9,0.00%,1.8,11.2,2.22
Update Profile JSF,365,30,11,46,86,413,3,660,100.00%,3.8,31.3,73.25
Register,9,277,233,368,400,400,160,400,0.00%,1.7,13.9,80.44
PortfolioPing JSF,483,32,10,38,80,544,2,1287,100.00%,5.0,41.6,102.18
RegisterPing,202,17,10,29,36,241,3,508,100.00%,2.1,17.5,43.06
Register JSF,202,23,11,33,59,192,3,740,100.00%,2.1,17.5,64.22
TOTAL,36776,43,13,76,167,557,2,14651,96.93%,367.8,2841.5,157.84
