Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,48,3297,3393,3858,3929,4025,2007,4025,100.00%,11.9,87.5,526.36
WelcomePing JSF,2,2685,2046,3324,3324,3324,2046,3324,100.00%,.6,5.2,639.00
Login JSF,2,1631,1568,1694,1694,1694,1568,1694,100.00%,.7,5.9,63.00
Quotes,34,323364,2165,847372,974471,1125514,1384,1125514,38.24%,.0,.2,405210.27
Portfolio,19,404023,259552,858315,870185,958708,1356,958708,47.37%,.0,.1,390272.07
Home,11,598830,739735,945681,945681,1148453,1645,1148453,72.73%,.0,.1,390633.98
QuotesPing JSF,2,264754,1279,528230,528230,528230,1279,528230,100.00%,.0,.0,263475.50
Account,4,612629,761145,799666,799666,799666,111511,799666,75.00%,.0,.0,289642.68
Quotes JSF,1,500218,500218,500218,500218,500218,500218,500218,100.00%,.0,.0,0.00
TOTAL,123,235001,3501,820560,890025,1125514,1279,1148453,71.54%,.1,.8,364371.00
