Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,455,63,36,134,187,333,3,1216,100.00%,4.6,37.9,86.57
Login,3692,252,216,471,578,957,19,1628,100.00%,36.9,265.3,186.04
Login JSF,453,75,47,168,235,399,4,499,100.00%,4.5,37.9,78.25
Quotes,466,46,28,118,134,230,5,261,0.00%,31.7,144.7,46.11
Home,179,51,29,119,164,242,5,284,0.00%,10.5,48.1,53.60
QuotesPing JSF,4459,58,37,128,185,336,3,1205,100.00%,44.8,373.3,71.49
Portfolio,211,50,30,121,157,237,5,246,0.00%,12.6,57.5,52.59
Portfolio JSF,2054,72,45,163,221,398,3,1304,100.00%,20.6,172.2,87.61
Quotes JSF,4737,76,47,173,240,413,3,1217,100.00%,47.6,396.9,94.02
Account,136,40,28,83,98,289,4,305,0.00%,8.4,38.2,45.04
Account JSF,1548,69,43,163,219,392,3,636,100.00%,15.6,130.0,78.49
Logout,53,33,28,60,78,88,6,140,0.00%,3.2,14.5,25.31
WS1 open close,882,57,31,140,221,377,3,491,100.00%,8.9,.0,72.59
HomePing JSF,544,59,37,137,199,367,3,426,100.00%,5.5,46.0,67.00
Buy,23,44,38,87,111,165,7,165,0.00%,1.8,8.3,38.25
Logout JSF,544,78,46,187,241,349,3,1204,100.00%,5.5,45.9,105.10
Home JSF,2169,74,43,178,242,411,3,1181,100.00%,22.1,184.4,93.40
Update Profile,19,42,31,77,101,176,8,176,0.00%,1.3,5.8,39.57
Update Profile JSF,238,68,39,152,212,412,5,949,100.00%,2.4,20.4,90.61
PortfolioPing JSF,285,72,46,154,242,376,3,551,100.00%,2.9,24.5,84.50
QuotePing JSF,282,78,53,178,225,379,3,603,100.00%,2.9,24.3,82.93
Buy JSF,282,85,56,194,246,388,4,1255,100.00%,2.9,24.3,105.94
Register Page,13,4,4,9,9,9,2,9,0.00%,1.9,11.8,2.25
Register,13,214,226,332,332,360,76,360,0.00%,1.8,14.5,91.27
RegisterPing,121,63,38,135,161,457,4,1038,100.00%,1.3,10.7,107.58
Register JSF,121,80,52,191,228,346,5,369,100.00%,1.3,10.7,79.47
TOTAL,23979,96,52,240,339,577,2,1628,95.36%,239.6,1841.2,125.45
