Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,705,6,4,9,12,34,2,301,100.00%,7.1,59.1,18.62
Login,5980,45,26,61,214,333,11,706,100.00%,59.8,430.0,68.63
Login JSF,705,26,5,20,220,307,2,668,100.00%,7.1,59.1,75.09
QuotesPing JSF,7433,7,5,12,19,38,2,853,100.00%,74.6,621.8,17.23
Quotes,401,11,9,18,24,37,4,52,0.00%,34.9,159.5,6.51
Home,172,11,9,19,24,41,4,68,0.00%,15.5,70.8,7.76
Portfolio,194,10,9,18,22,33,4,38,0.00%,17.7,81.0,5.88
Account,117,10,9,17,23,29,4,32,0.00%,10.8,49.5,5.51
Portfolio JSF,3440,23,5,16,171,299,2,7569,100.00%,34.5,288.2,143.05
Quotes JSF,7930,23,5,17,170,299,2,15048,100.00%,79.6,663.4,181.37
Home JSF,3653,20,5,15,161,295,2,643,100.00%,36.7,306.5,61.72
Buy,27,10,9,17,20,21,5,21,0.00%,3.7,16.9,4.48
Account JSF,2750,19,5,15,150,285,2,604,100.00%,27.7,230.9,58.66
WS1 open close,1549,19,4,10,148,313,2,651,100.00%,15.6,.0,64.55
Logout,51,17,14,36,40,48,4,52,0.00%,4.3,19.8,11.92
HomePing JSF,883,7,5,13,21,37,2,290,100.00%,8.9,74.3,11.74
Logout JSF,883,18,6,16,148,283,2,424,100.00%,8.9,74.3,51.45
QuotePing JSF,504,27,5,27,217,322,2,670,100.00%,5.1,42.6,77.08
Update Profile,11,10,8,18,18,22,6,22,0.00%,2.4,11.0,4.99
Buy JSF,504,24,5,22,195,298,2,570,100.00%,5.1,42.5,67.11
PortfolioPing JSF,478,21,5,16,168,308,2,594,100.00%,4.9,40.7,63.39
Update Profile JSF,403,23,5,22,180,310,2,556,100.00%,4.1,34.2,66.66
Register Page,12,2,2,6,6,7,1,7,0.00%,1.3,7.9,1.77
Register,12,137,127,178,178,201,75,201,0.00%,1.2,10.1,37.49
RegisterPing,204,8,5,13,20,28,2,326,100.00%,2.1,17.6,22.94
Register JSF,204,25,6,52,186,279,2,316,100.00%,2.1,17.6,60.17
TOTAL,39205,22,6,31,88,295,1,15048,97.46%,392.1,3035.2,102.73
