Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,231,156,104,308,473,1054,6,2265,100.00%,2.4,20.1,219.37
Login,2003,646,479,1052,1484,3544,32,7705,100.00%,18.9,136.2,750.36
Login JSF,231,150,103,309,423,771,5,1830,100.00%,2.4,19.7,192.79
Account,140,111,89,222,254,292,14,318,0.00%,4.3,19.5,70.86
Quotes,511,125,101,256,302,428,11,552,0.00%,14.5,66.4,91.24
QuotesPing JSF,2397,129,79,272,397,848,6,2625,100.00%,24.1,201.3,187.28
Home,218,128,107,236,326,421,16,847,0.00%,7.3,33.1,103.60
Portfolio,249,129,102,246,331,481,14,510,0.00%,7.3,33.1,93.39
Account JSF,875,164,104,307,434,1503,6,3321,100.00%,8.8,73.5,251.68
Quotes JSF,2556,161,98,337,491,1043,6,3538,100.00%,25.7,214.6,227.25
WS1 open close,504,126,86,261,370,556,7,1549,100.00%,5.1,.0,150.91
Home JSF,1222,151,105,338,449,761,6,1733,100.00%,12.3,102.9,170.61
Portfolio JSF,1136,160,100,350,482,1166,6,2851,100.00%,11.5,95.8,219.03
QuotePing JSF,161,149,82,266,343,1295,8,3386,100.00%,1.6,13.6,311.44
Logout,52,285,146,740,804,935,12,1048,0.00%,1.2,5.3,291.15
Buy JSF,159,144,102,280,430,542,9,1713,100.00%,1.6,13.5,171.27
Buy,27,131,98,181,238,793,22,793,0.00%,1.3,6.1,137.50
PortfolioPing JSF,174,161,107,308,434,731,6,2550,100.00%,1.8,15.4,229.27
Update Profile JSF,139,145,96,281,410,849,11,1712,100.00%,1.5,12.2,195.14
Update Profile,17,84,64,164,167,228,15,228,0.00%,.8,3.9,64.88
Register Page,15,29,16,54,100,133,5,133,0.00%,.5,3.0,36.44
HomePing JSF,272,130,88,266,328,597,10,2116,100.00%,2.9,23.8,167.08
Logout JSF,272,178,106,375,443,1128,6,3537,100.00%,2.9,23.8,292.48
Register,15,2160,1674,2636,2866,8300,974,8300,0.00%,.4,3.0,1739.29
RegisterPing,62,158,83,332,509,960,9,1520,100.00%,.7,5.5,239.44
Register JSF,62,170,95,377,459,951,10,1644,100.00%,.7,5.5,242.89
TOTAL,13700,223,118,499,731,1634,5,8300,90.92%,129.5,975.3,395.11
