Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,3548,265,211,514,638,921,27,1182,100.00%,35.4,254.7,180.88
Quotes,474,73,52,163,208,274,8,398,0.00%,27.4,125.2,62.33
Home,194,73,51,154,196,280,10,430,0.00%,11.4,52.1,61.05
Portfolio,225,69,48,161,211,286,8,321,0.00%,12.9,58.8,63.39
Account,143,70,48,155,204,355,9,367,0.00%,8.3,37.7,63.81
Logout,57,144,100,329,371,383,11,388,0.00%,3.3,15.2,122.51
Buy,31,86,54,193,194,223,11,223,0.00%,2.5,11.3,70.87
WelcomePing JSF,415,64,40,142,181,406,5,564,100.00%,4.2,35.3,76.00
Login JSF,414,79,44,174,275,461,5,635,100.00%,4.3,35.5,92.60
QuotesPing JSF,4302,63,39,136,204,402,4,874,100.00%,43.9,366.4,75.43
Update Profile,26,59,40,107,146,171,11,171,0.00%,2.2,10.0,41.07
Quotes JSF,4582,82,49,193,283,484,4,942,100.00%,46.9,390.6,95.14
Home JSF,2092,77,46,178,253,458,4,623,100.00%,21.4,178.7,87.95
Account JSF,1621,77,46,181,259,411,4,659,100.00%,16.6,138.8,84.14
Portfolio JSF,2094,81,50,187,283,430,5,620,100.00%,21.5,179.5,90.47
WS1 open close,868,56,28,138,207,362,3,597,100.00%,8.9,.0,75.37
PortfolioPing JSF,295,80,46,211,291,362,5,622,100.00%,3.0,25.4,90.95
QuotePing JSF,286,78,50,161,262,426,5,556,100.00%,3.0,24.6,85.72
Buy JSF,285,77,50,180,258,336,7,444,100.00%,3.0,24.7,76.67
Update Profile JSF,244,75,48,179,245,434,6,607,100.00%,2.6,21.4,83.71
Register Page,14,30,16,66,66,110,5,110,0.00%,1.6,10.2,29.15
HomePing JSF,518,62,42,128,174,397,5,524,100.00%,5.4,45.4,69.15
Logout JSF,518,79,50,193,271,410,7,605,100.00%,5.4,45.4,85.86
RegisterPing,123,60,44,129,158,228,6,287,100.00%,1.3,10.8,50.70
Register JSF,123,92,56,248,316,470,6,537,100.00%,1.3,10.8,105.50
Register,14,1120,1030,1656,1656,1826,660,1826,0.00%,1.5,12.1,358.08
TOTAL,23506,103,57,255,357,617,3,1826,94.99%,234.7,1800.4,128.18
