Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,4738,206,162,419,544,808,17,1391,100.00%,47.4,340.8,172.08
Portfolio,347,25,20,52,68,106,5,150,0.00%,12.8,58.3,20.86
Quotes,690,27,20,53,72,104,5,254,0.00%,25.6,117.1,24.38
Home,301,25,20,47,66,102,5,247,0.00%,11.1,50.9,22.46
Account,208,26,21,55,68,98,6,110,0.00%,9.7,44.5,19.69
Buy,41,25,20,40,44,135,7,135,0.00%,1.8,8.4,21.15
Logout,56,47,24,83,189,233,5,262,0.00%,2.1,9.5,57.23
WelcomePing JSF,520,45,26,95,146,249,3,682,100.00%,5.3,43.9,61.54
Login JSF,520,55,26,116,178,535,3,745,100.00%,5.3,43.9,87.76
Account JSF,1838,64,33,153,236,475,2,658,100.00%,18.6,155.2,86.52
QuotesPing JSF,5065,54,30,124,174,389,3,1169,100.00%,51.3,427.7,81.81
Quotes JSF,5403,70,35,161,246,557,3,1264,100.00%,54.8,456.4,108.43
Portfolio JSF,2422,67,34,165,243,556,3,1048,100.00%,24.6,205.0,100.04
Home JSF,2517,65,34,149,229,498,3,1109,100.00%,25.5,213.1,99.42
QuotePing JSF,346,68,32,140,227,649,3,1064,100.00%,3.6,29.6,121.10
Update Profile,27,26,23,43,52,58,9,58,0.00%,1.5,7.1,13.91
Buy JSF,346,63,27,148,220,538,4,783,100.00%,3.5,29.5,93.10
WS1 open close,1037,49,23,95,189,541,3,1054,100.00%,10.6,.0,91.56
PortfolioPing JSF,328,74,33,172,249,543,3,1108,100.00%,3.4,28.1,111.67
Register Page,9,9,4,14,40,40,2,40,0.00%,1.4,9.2,11.50
Update Profile JSF,274,70,37,167,232,536,4,769,100.00%,2.8,23.6,102.24
HomePing JSF,617,51,27,112,168,436,3,786,100.00%,6.4,53.0,77.61
Register,9,284,267,414,458,458,162,458,0.00%,1.4,11.4,90.77
Logout JSF,615,66,35,156,236,520,3,729,100.00%,6.3,52.9,89.75
RegisterPing,129,69,33,128,218,848,3,1067,100.00%,1.3,11.2,135.64
Register JSF,129,81,40,169,279,681,4,1064,100.00%,1.3,11.2,130.31
TOTAL,28532,84,40,217,314,603,2,1391,94.08%,285.4,2176.2,123.07
