Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6848,51,22,170,269,418,10,2967,100.00%,68.5,492.9,103.56
WelcomePing JSF,786,5,3,7,9,23,2,368,100.00%,7.9,65.6,15.12
Quotes,454,44,11,205,240,294,4,321,0.00%,44.1,201.5,77.73
Portfolio,223,30,10,40,216,262,4,309,0.00%,21.2,96.8,60.31
Login JSF,784,33,4,18,237,414,2,1441,100.00%,7.9,65.7,117.44
Home,195,35,10,144,224,296,4,309,0.00%,18.7,85.6,67.04
QuotesPing JSF,7989,7,4,11,20,34,2,2943,100.00%,80.2,668.7,46.53
Account,144,40,11,210,225,261,5,292,0.00%,15.3,69.9,72.10
Quotes JSF,8514,31,5,19,232,392,1,7948,100.00%,85.5,713.0,152.47
Home JSF,3941,27,5,14,227,389,2,1454,100.00%,39.7,330.8,86.01
WS1 open close,1654,30,4,44,238,398,2,1438,100.00%,16.7,.0,93.70
Buy,21,9,9,13,13,13,5,13,0.00%,2.4,10.9,2.52
Logout,51,19,12,21,26,176,4,182,0.00%,5.1,23.3,32.92
Portfolio JSF,3647,31,5,17,233,395,2,7933,100.00%,36.9,308.1,155.79
PortfolioPing JSF,519,29,5,18,220,382,2,1381,100.00%,5.3,44.0,96.29
Update Profile,18,39,8,156,188,215,4,215,0.00%,4.1,18.9,66.85
Account JSF,2958,31,5,26,239,375,2,1436,100.00%,30.0,250.6,101.51
HomePing JSF,974,8,4,11,19,38,2,1415,100.00%,10.0,83.1,48.04
QuotePing JSF,535,38,5,143,274,512,2,1428,100.00%,5.5,45.8,112.56
Update Profile JSF,432,33,5,136,219,378,2,1423,100.00%,4.4,37.0,102.30
Logout JSF,971,32,5,98,243,375,2,558,100.00%,9.9,82.9,83.80
Buy JSF,535,26,5,12,229,399,2,516,100.00%,5.5,45.7,76.89
Register Page,5,47,3,8,224,224,1,224,0.00%,5.6,35.4,88.13
Register,5,162,84,282,284,284,80,284,0.00%,5.1,41.8,98.64
RegisterPing,219,7,4,12,22,31,2,381,100.00%,2.3,19.1,25.97
Register JSF,219,33,5,18,242,416,2,1399,100.00%,2.3,19.1,121.00
TOTAL,42641,29,5,30,215,382,1,7948,97.38%,426.5,3298.5,109.16
