Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,780,16,3,6,7,19,2,7458,100.00%,7.8,65.1,276.39
Login,6694,40,19,36,232,330,10,3770,100.00%,66.8,480.2,108.36
Login JSF,779,21,4,10,189,267,2,1999,100.00%,7.8,65.2,90.73
Portfolio,247,9,8,13,16,32,4,66,0.00%,22.8,104.2,5.71
Quotes,488,10,8,14,18,71,4,96,0.00%,43.7,199.5,10.18
QuotesPing JSF,8060,9,4,8,13,31,2,14639,100.00%,81.0,675.2,192.42
Home,218,9,8,14,16,26,4,66,0.00%,20.0,91.2,5.39
Account,140,8,8,12,13,17,4,17,0.00%,13.3,60.6,2.75
Quotes JSF,8599,23,5,11,196,317,2,3772,100.00%,86.2,718.5,105.82
Logout,57,10,8,19,22,28,4,38,0.00%,5.0,22.9,6.53
PortfolioPing JSF,538,20,4,11,216,289,2,347,100.00%,5.4,45.1,61.39
Account JSF,2984,25,4,10,201,308,2,7432,100.00%,30.0,250.4,178.80
Buy,26,8,7,11,13,14,4,14,0.00%,3.0,13.6,2.62
Home JSF,3960,23,4,10,207,309,2,3754,100.00%,39.9,333.0,106.23
Update Profile JSF,412,28,4,10,17,302,2,2101,100.00%,4.2,34.9,180.30
Portfolio JSF,3798,27,4,10,202,314,2,7441,100.00%,38.4,320.3,203.15
Update Profile,23,8,8,12,16,16,4,16,0.00%,2.4,10.9,3.24
WS1 open close,1667,23,4,8,197,335,1,2109,100.00%,17.0,.0,116.21
HomePing JSF,967,22,4,7,12,31,2,14508,100.00%,9.9,82.5,470.55
Logout JSF,967,53,5,11,209,312,2,14512,100.00%,9.9,82.2,664.10
RegisterPing,221,4,4,8,11,30,2,35,100.00%,2.3,18.9,4.79
Register Page,13,2,3,4,4,6,1,6,0.00%,1.4,8.7,1.23
Register JSF,221,20,5,10,166,296,2,463,100.00%,2.3,18.9,64.12
Register,13,70,72,90,90,106,54,106,0.00%,1.4,11.2,15.46
QuotePing JSF,544,24,5,10,223,312,2,512,100.00%,5.6,46.8,69.81
Buy JSF,542,29,4,10,223,306,2,2001,100.00%,5.6,46.7,135.87
TOTAL,42958,24,5,22,61,302,1,14639,97.15%,428.5,3313.1,188.91
