Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,4334,216,190,371,446,613,18,801,100.00%,43.3,311.6,116.40
WelcomePing JSF,487,53,36,113,147,265,4,393,100.00%,4.9,40.7,53.00
Home,212,56,39,129,156,231,7,244,0.00%,12.4,56.6,49.01
Quotes,492,52,37,109,154,211,6,260,0.00%,28.3,129.4,45.12
Account,154,48,38,96,115,197,5,236,0.00%,8.6,39.4,40.31
Portfolio,244,52,40,115,140,225,6,265,0.00%,13.8,63.3,43.45
Login JSF,487,64,41,139,231,283,6,448,100.00%,4.9,40.8,66.18
QuotesPing JSF,4868,52,35,107,152,295,4,540,100.00%,49.0,409.0,56.31
Quotes JSF,5138,71,46,168,233,356,3,517,100.00%,51.8,432.1,74.33
WS1 open close,998,54,31,134,210,294,4,433,100.00%,10.1,.0,64.19
Logout,57,83,68,142,230,251,11,295,0.00%,3.3,15.0,61.81
Buy,31,45,37,77,105,129,10,129,0.00%,2.2,10.1,31.08
Portfolio JSF,2321,68,42,169,238,341,4,524,100.00%,23.5,196.1,74.38
Account JSF,1808,64,39,145,216,346,4,508,100.00%,18.4,153.1,70.70
Update Profile,21,59,43,151,171,174,7,174,0.00%,2.0,9.3,48.12
Home JSF,2500,70,44,175,233,355,4,535,100.00%,25.5,212.4,75.59
Register Page,13,30,25,78,78,83,4,83,0.00%,1.7,10.9,28.22
HomePing JSF,584,56,36,117,177,301,5,485,100.00%,6.0,50.2,61.83
Logout JSF,584,75,47,177,241,391,4,518,100.00%,6.0,50.2,78.79
Update Profile JSF,268,71,40,159,237,355,6,511,100.00%,2.8,23.1,80.34
Register,13,492,409,765,765,896,308,896,0.00%,1.6,13.3,184.06
PortfolioPing JSF,343,74,44,178,261,486,4,515,100.00%,3.6,29.7,86.71
QuotePing JSF,282,70,45,162,245,315,5,416,100.00%,3.0,24.6,74.03
Buy JSF,279,70,41,158,250,308,5,496,100.00%,2.9,24.4,74.60
RegisterPing,131,53,37,111,140,250,5,283,100.00%,1.4,11.8,49.12
Register JSF,131,61,43,117,190,299,6,349,100.00%,1.4,11.8,61.47
TOTAL,26780,88,51,223,292,456,3,896,95.38%,267.7,2053.9,97.11
