Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6662,46,20,41,261,372,10,7316,100.00%,66.7,479.7,157.43
Portfolio,301,8,8,13,16,28,4,44,0.00%,19.4,88.8,4.47
Home,265,9,8,14,19,39,4,53,0.00%,17.8,81.3,6.41
Quotes,576,9,8,14,17,44,4,62,0.00%,37.8,172.6,6.94
Account,195,8,8,12,14,19,4,23,0.00%,12.8,58.3,3.00
Logout,57,10,9,14,22,23,4,29,0.00%,3.7,16.9,4.83
WelcomePing JSF,765,9,3,7,11,20,2,2050,100.00%,7.7,64.3,87.21
Login JSF,764,24,4,10,195,357,2,1018,100.00%,7.7,64.3,91.92
QuotesPing JSF,8011,9,4,9,16,30,1,7506,100.00%,80.8,674.0,151.62
Quotes JSF,8521,26,5,12,201,338,2,14343,100.00%,86.0,717.1,201.82
Portfolio JSF,3739,29,5,12,227,358,2,14336,100.00%,37.8,315.5,257.02
Buy,34,9,9,14,14,15,5,15,0.00%,3.9,17.6,3.06
WS1 open close,1686,24,4,8,172,341,2,3770,100.00%,17.1,.0,146.78
Home JSF,3956,26,5,11,202,334,2,7517,100.00%,40.1,334.5,159.25
QuotePing JSF,527,25,5,11,229,366,2,548,100.00%,5.4,44.7,77.07
Update Profile,26,7,7,11,12,12,4,12,0.00%,2.7,12.4,2.68
Account JSF,2910,32,5,11,208,358,1,14346,100.00%,29.6,246.9,316.05
Buy JSF,526,31,5,11,217,380,2,3782,100.00%,5.4,44.7,186.20
HomePing JSF,947,5,4,8,13,28,1,543,100.00%,9.7,80.7,18.08
Logout JSF,947,40,5,12,211,352,2,14343,100.00%,9.7,80.6,475.66
Register Page,11,2,2,3,3,3,1,3,0.00%,1.3,8.2,0.64
Register,11,77,79,99,99,106,48,106,0.00%,1.3,10.5,16.01
Update Profile JSF,445,73,5,12,227,374,2,21541,100.00%,4.6,38.3,1022.36
PortfolioPing JSF,492,21,5,11,145,355,2,1001,100.00%,5.1,42.5,80.69
RegisterPing,214,5,4,9,19,32,2,35,100.00%,2.3,18.8,5.60
Register JSF,214,19,5,13,168,267,2,325,100.00%,2.3,18.8,56.11
TOTAL,42802,26,5,23,79,340,1,21541,96.55%,428.6,3301.8,221.27
