Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,710,6,4,10,15,42,2,218,100.00%,7.1,59.2,11.44
Login,6102,54,27,73,216,601,11,2179,100.00%,61.0,438.9,114.22
Login JSF,709,26,5,15,135,588,2,1260,100.00%,7.1,59.2,106.67
Home,228,8,8,13,14,21,4,59,0.00%,18.7,85.6,4.72
Portfolio,232,9,8,13,17,32,4,57,0.00%,20.2,92.5,5.58
QuotesPing JSF,7179,8,5,12,19,41,2,2156,100.00%,72.0,600.1,41.34
Quotes,510,10,7,13,17,34,4,1011,0.00%,41.5,189.6,44.64
Portfolio JSF,3348,25,5,16,155,446,2,1295,100.00%,33.6,280.4,95.29
Quotes JSF,7623,28,5,17,162,490,2,7584,100.00%,76.5,637.7,158.35
Account,145,14,8,12,15,25,4,910,0.00%,12.2,55.7,74.69
Home JSF,3555,25,5,17,166,400,2,1273,100.00%,35.7,297.9,89.46
Logout,56,27,8,22,23,30,5,937,0.00%,4.5,20.4,122.76
Account JSF,2659,24,5,18,153,428,2,1288,100.00%,26.7,223.1,89.17
Buy,37,8,8,13,16,21,4,21,0.00%,6.1,28.0,3.79
WS1 open close,1516,20,5,11,120,353,2,1215,100.00%,15.3,.0,76.92
Update Profile,25,7,7,8,10,11,4,11,0.00%,4.6,21.0,1.60
Update Profile JSF,396,18,5,14,57,281,2,606,100.00%,4.0,33.6,58.05
HomePing JSF,873,8,5,12,18,36,2,1270,100.00%,8.9,74.3,43.15
Logout JSF,872,25,5,15,91,443,2,2155,100.00%,8.9,74.2,112.03
QuotePing JSF,457,19,5,15,81,339,2,794,100.00%,4.7,38.9,66.89
Register Page,16,2,2,3,5,6,1,6,0.00%,1.5,9.6,1.22
Buy JSF,456,29,5,23,182,578,2,951,100.00%,4.7,38.9,99.01
PortfolioPing JSF,507,22,5,14,150,429,2,864,100.00%,5.2,43.4,76.07
Register,16,82,76,97,120,152,55,152,0.00%,1.5,12.3,24.34
RegisterPing,196,7,5,11,17,33,2,168,100.00%,2.0,16.9,12.61
Register JSF,196,20,5,18,108,270,2,604,100.00%,2.0,16.9,63.43
TOTAL,38619,25,6,32,83,409,1,7584,96.72%,386.1,2976.5,103.70
