Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,49,2470,2577,3100,3160,3238,1514,3238,100.00%,15.1,111.3,545.10
WelcomePing JSF,1,1522,1522,1522,1522,1522,1522,1522,100.00%,.7,5.6,0.00
Login JSF,1,1435,1435,1435,1435,1435,1435,1435,100.00%,.7,5.9,0.00
Home,27,22193,2059,110050,119630,122621,836,122621,0.00%,.2,1.0,40363.70
Quotes,75,40629,2804,117282,119302,121737,810,126546,2.67%,.6,2.7,49898.28
Account,25,76437,94318,119676,123684,130676,1620,130676,8.00%,.2,.9,49556.88
Portfolio,14,14286,2608,27712,27712,101467,944,101467,7.14%,.1,.5,25799.42
QuotesPing JSF,2,17653,2341,32966,32966,32966,2341,32966,100.00%,.0,.3,15312.50
Quotes JSF,2,34179,10938,57421,57421,57421,10938,57421,100.00%,.0,.1,23241.50
Portfolio JSF,1,17587,17587,17587,17587,17587,17587,17587,100.00%,.1,.5,0.00
Buy,1,119455,119455,119455,119455,119455,119455,119455,0.00%,.0,.0,0.00
TOTAL,198,30919,2804,116767,119363,123684,810,130676,30.81%,1.4,8.0,45923.94
