Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6765,42,20,36,230,458,10,4074,100.00%,67.7,486.9,120.76
Account,162,10,8,17,19,26,4,30,0.00%,13.9,63.7,5.04
Quotes,502,10,8,17,22,32,4,38,0.00%,43.4,198.1,5.91
Home,223,9,8,15,18,26,4,30,0.00%,18.8,86.1,4.46
Portfolio,245,9,8,17,19,32,4,37,0.00%,20.9,95.5,5.38
Logout,57,10,8,16,21,24,4,29,0.00%,4.8,21.8,5.63
Buy,34,9,8,15,18,21,4,21,0.00%,3.0,13.9,4.14
WelcomePing JSF,797,7,3,7,9,38,2,1266,100.00%,8.1,67.3,51.84
Login JSF,797,33,4,10,227,635,2,2060,100.00%,8.1,67.2,156.93
QuotesPing JSF,8201,10,4,8,13,30,2,14632,100.00%,83.0,691.8,187.00
Quotes JSF,8734,24,4,11,173,353,1,7308,100.00%,88.4,737.2,127.89
Update Profile,24,10,9,14,16,19,6,19,0.00%,2.5,11.3,3.29
Portfolio JSF,3774,25,4,10,207,369,2,2072,100.00%,38.3,319.3,107.66
Home JSF,4032,29,4,10,183,448,2,7363,100.00%,40.9,341.1,221.72
Account JSF,2962,27,4,11,221,455,2,3976,100.00%,30.0,250.6,125.55
WS1 open close,1611,28,4,7,68,375,2,7308,100.00%,16.4,.0,240.35
PortfolioPing JSF,533,22,4,11,156,338,2,1146,100.00%,5.4,45.2,81.85
QuotePing JSF,537,57,4,11,208,357,2,14532,100.00%,5.5,45.6,651.11
Buy JSF,534,34,5,14,280,475,2,2015,100.00%,5.4,45.4,129.13
Register Page,11,2,2,4,4,4,1,4,0.00%,1.1,7.0,1.05
Register,11,79,78,98,98,107,52,107,0.00%,1.1,8.9,15.93
Update Profile JSF,432,22,5,10,190,353,2,528,100.00%,4.5,37.1,72.49
HomePing JSF,993,13,4,9,16,31,2,7361,100.00%,10.2,85.5,235.19
Logout JSF,993,28,5,11,169,515,2,2018,100.00%,10.2,85.2,130.67
RegisterPing,232,4,4,8,11,26,2,29,100.00%,2.4,20.0,4.21
Register JSF,231,56,5,12,240,308,2,7308,100.00%,2.4,19.9,483.06
TOTAL,43427,25,5,22,41,345,1,14632,97.08%,434.7,3365.6,173.40
