Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6719,41,20,36,239,363,10,3871,100.00%,67.2,483.4,105.23
WelcomePing JSF,777,6,3,6,8,17,2,794,100.00%,7.8,64.9,43.93
Quotes,387,11,8,16,23,93,4,97,0.00%,32.4,148.0,14.07
Home,168,9,8,15,19,54,4,68,0.00%,14.2,64.8,8.16
Account,126,10,8,16,17,70,4,86,0.00%,12.0,54.9,10.01
Login JSF,776,21,4,8,179,345,2,795,100.00%,7.8,65.1,76.56
Portfolio,195,9,7,13,16,57,4,105,0.00%,16.8,76.8,9.32
QuotesPing JSF,7722,8,4,8,13,28,2,7396,100.00%,77.7,647.8,112.32
Portfolio JSF,3633,25,4,11,211,316,2,7393,100.00%,36.6,305.3,150.11
Quotes JSF,8258,20,5,10,174,310,2,3858,100.00%,83.2,693.1,79.09
Logout,54,11,10,19,22,27,4,27,0.00%,4.4,20.0,5.65
Buy,34,8,8,12,13,19,4,19,0.00%,4.6,20.9,3.25
Account JSF,2868,23,4,10,208,325,2,3858,100.00%,28.9,241.2,105.68
Home JSF,3921,21,4,11,207,315,2,812,100.00%,39.5,329.8,67.43
HomePing JSF,965,13,4,8,11,28,2,7395,100.00%,9.7,81.4,238.47
Logout JSF,962,25,5,12,214,301,2,3859,100.00%,9.7,81.3,138.97
QuotePing JSF,547,21,4,12,193,304,2,1220,100.00%,5.6,46.3,77.04
Update Profile,15,7,7,11,12,16,4,16,0.00%,2.9,13.4,3.10
WS1 open close,1654,26,4,8,217,343,1,7394,100.00%,16.8,.0,194.21
Buy JSF,546,21,5,10,208,318,2,610,100.00%,5.6,46.3,66.28
Update Profile JSF,417,17,4,10,17,332,2,613,100.00%,4.2,35.4,59.98
PortfolioPing JSF,503,18,5,10,147,318,2,527,100.00%,5.1,42.8,60.90
Register Page,13,2,3,4,4,4,1,4,0.00%,1.3,8.1,0.93
Register,13,93,96,121,121,143,62,143,0.00%,1.3,10.3,22.61
RegisterPing,222,4,4,7,13,24,2,34,100.00%,2.3,19.2,4.08
Register JSF,222,18,5,11,42,291,2,439,100.00%,2.3,19.2,58.78
TOTAL,41717,21,5,23,48,311,1,7396,97.59%,417.4,3228.6,110.75
