Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6500,54,25,57,282,496,11,4012,100.00%,65.1,467.9,119.18
Quotes,443,9,8,15,19,39,4,47,0.00%,50.5,230.7,5.92
Home,176,10,8,16,21,38,4,39,0.00%,20.6,94.1,6.53
Portfolio,215,10,9,15,20,39,4,43,0.00%,24.8,113.5,6.44
Account,145,9,8,14,16,24,5,25,0.00%,17.8,81.5,3.96
Buy,32,9,8,14,16,22,5,22,0.00%,6.1,27.7,3.91
Logout,54,11,8,23,28,28,4,38,0.00%,6.5,29.5,7.36
WelcomePing JSF,755,10,4,8,14,42,2,2179,100.00%,7.6,63.7,83.21
Login JSF,754,19,5,13,116,320,2,726,100.00%,7.7,64.0,67.04
QuotesPing JSF,7284,8,4,11,18,38,2,2179,100.00%,73.8,615.2,45.52
Quotes JSF,7731,25,5,14,181,384,2,7616,100.00%,78.4,653.4,127.36
Home JSF,3627,26,5,13,192,400,2,7615,100.00%,36.8,307.2,153.32
Update Profile,23,7,7,11,12,15,5,15,0.00%,3.2,14.6,2.63
Portfolio JSF,3415,27,5,13,176,417,2,7617,100.00%,34.7,289.8,159.09
Account JSF,2576,25,5,14,192,382,2,1010,100.00%,26.2,218.9,90.33
PortfolioPing JSF,459,31,5,15,225,623,2,1000,100.00%,4.7,39.1,113.79
WS1 open close,1492,27,4,10,167,424,2,3993,100.00%,15.2,.0,168.41
HomePing JSF,944,9,4,13,18,40,2,1023,100.00%,9.7,80.6,45.19
Logout JSF,943,29,5,14,197,428,2,2188,100.00%,9.7,80.5,137.24
Update Profile JSF,371,20,5,13,154,308,2,383,100.00%,3.8,31.7,61.40
Register Page,11,2,2,3,3,4,1,4,0.00%,1.9,12.4,0.75
QuotePing JSF,461,26,5,12,82,624,2,1029,100.00%,4.7,39.5,103.95
Register,11,103,96,134,134,148,56,148,0.00%,1.9,15.7,27.05
Buy JSF,457,23,5,13,196,349,2,942,100.00%,4.7,39.3,77.86
RegisterPing,221,7,4,10,13,30,2,422,100.00%,2.3,19.6,28.35
Register JSF,221,25,5,15,198,580,2,753,100.00%,2.3,19.5,89.32
TOTAL,39321,26,5,30,91,380,1,7617,97.18%,393.7,3042.8,115.20
