Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,4,9634,7429,14385,14385,14385,4522,14385,100.00%,.3,2.4,3877.85
Login JSF,4,6589,4221,11179,11179,11179,3846,11179,100.00%,.3,2.3,2935.73
Home JSF,1,1623,1623,1623,1623,1623,1623,1623,100.00%,.6,5.1,0.00
Login,44,11799934,16739817,16739912,16739913,16739918,14418,16739918,100.00%,.0,.0,7628332.90
QuotesPing JSF,4,8361308,4094,16720497,16720497,16720497,3312,16720497,100.00%,.0,.0,8357605.33
Quotes,6,13933018,16717229,16719807,16721062,16721062,4932,16721062,0.00%,.0,.0,6228829.73
Quotes JSF,2,8362985,7805,16718165,16718165,16718165,7805,16718165,100.00%,.0,.0,8355180.00
Portfolio,4,16719877,16720251,16721067,16721067,16721067,16717126,16721067,0.00%,.0,.0,1622.91
Portfolio JSF,1,16721067,16721067,16721067,16721067,16721067,16721067,16721067,100.00%,.0,.0,0.00
TOTAL,70,10523336,16720497,16739911,16739912,16739917,1623,16739918,85.71%,.0,.0,8079065.84
