Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,5477,59,27,184,285,467,13,1056,100.00%,54.8,394.0,100.61
WelcomePing JSF,673,6,4,8,12,34,2,451,100.00%,6.7,56.2,19.92
Login JSF,673,29,5,28,219,344,2,982,100.00%,6.8,56.5,80.66
QuotesPing JSF,6901,7,5,12,19,33,2,1038,100.00%,69.5,579.3,21.88
Home,170,23,11,30,140,185,5,199,0.00%,15.0,68.7,38.00
Account,123,34,12,145,178,206,5,223,0.00%,10.6,48.6,54.92
Quotes,390,25,12,34,164,206,4,235,0.00%,32.8,149.7,44.36
Portfolio,194,28,12,91,168,193,5,203,0.00%,16.1,73.8,46.55
Quotes JSF,7341,31,6,34,228,372,2,992,100.00%,74.0,616.6,85.93
Logout,48,31,16,45,174,207,5,207,0.00%,4.0,18.3,45.32
Home JSF,3467,28,5,25,212,349,2,997,100.00%,35.0,291.8,79.58
Account JSF,2504,27,5,20,210,352,2,969,100.00%,25.3,211.0,74.81
Buy,30,38,10,137,142,208,4,208,0.00%,3.1,14.2,58.70
Portfolio JSF,3248,28,6,20,218,383,2,1004,100.00%,32.9,274.7,83.85
Update Profile,20,11,11,16,18,19,6,19,0.00%,2.0,9.1,3.68
WS1 open close,1413,27,5,22,211,348,2,996,100.00%,14.4,.0,83.06
QuotePing JSF,453,26,5,20,205,334,2,385,100.00%,4.6,38.7,67.46
HomePing JSF,809,7,5,12,19,38,2,456,100.00%,8.3,69.1,23.65
Logout JSF,808,34,6,37,243,370,2,1044,100.00%,8.3,69.1,101.19
Register Page,9,38,7,84,171,171,2,171,0.00%,5.7,36.0,55.13
Buy JSF,451,27,6,18,173,369,2,991,100.00%,4.6,38.6,90.36
Register,9,140,119,187,210,210,105,210,0.00%,5.8,47.4,34.25
PortfolioPing JSF,442,29,5,17,213,385,2,951,100.00%,4.6,38.2,86.83
Update Profile JSF,374,27,6,15,215,380,2,632,100.00%,3.9,32.3,79.15
RegisterPing,165,8,5,14,20,31,2,191,100.00%,1.7,14.5,15.54
Register JSF,165,24,6,14,228,289,2,354,100.00%,1.7,14.5,65.07
TOTAL,36357,28,6,37,199,370,2,1056,97.27%,363.8,2815.8,77.50
