Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6317,71,34,96,285,703,12,14657,100.00%,63.2,454.3,249.76
WelcomePing JSF,727,10,5,11,15,48,2,1008,100.00%,7.3,60.7,51.17
Login JSF,726,32,6,19,109,664,2,1112,100.00%,7.3,60.7,120.62
Quotes,403,25,12,72,122,187,4,213,0.00%,49.9,227.9,38.17
Portfolio,204,22,12,58,94,155,4,186,0.00%,25.6,117.0,31.06
Home,170,24,11,83,118,154,4,201,0.00%,20.8,94.8,36.54
QuotesPing JSF,7314,11,6,14,21,44,2,7533,100.00%,73.3,611.5,129.36
Portfolio JSF,3473,30,6,18,126,530,2,4282,100.00%,34.9,290.8,129.18
Quotes JSF,7770,32,6,20,142,550,2,7679,100.00%,78.0,650.3,164.15
Account,136,29,11,84,146,187,4,195,0.00%,16.7,76.1,45.30
Logout,56,24,14,35,118,129,6,136,0.00%,7.0,31.9,30.69
Buy,28,15,12,18,29,115,6,115,0.00%,4.3,19.7,19.75
Account JSF,2684,28,6,17,142,519,2,1503,100.00%,27.0,225.3,103.68
WS1 open close,1506,34,5,13,154,597,2,4504,100.00%,15.2,.0,164.80
Home JSF,3623,33,6,18,138,565,2,4585,100.00%,36.6,305.3,152.92
HomePing JSF,909,9,6,16,27,50,2,444,100.00%,9.2,76.8,23.66
Logout JSF,909,31,7,20,139,566,2,1057,100.00%,9.2,76.7,108.71
Update Profile,16,18,10,26,53,83,5,83,0.00%,3.1,14.1,20.22
Update Profile JSF,367,37,6,24,197,652,2,1097,100.00%,3.7,31.2,127.42
QuotePing JSF,470,25,6,17,89,519,2,1012,100.00%,4.8,39.9,95.78
Buy JSF,469,30,6,17,120,564,2,1009,100.00%,4.8,39.9,112.70
PortfolioPing JSF,511,37,6,29,162,694,2,1111,100.00%,5.2,43.7,126.38
Register Page,14,5,3,13,13,19,2,19,0.00%,2.7,17.0,4.67
Register,14,111,94,196,196,220,55,220,0.00%,2.6,21.6,47.19
RegisterPing,214,8,6,16,24,31,2,44,100.00%,2.2,18.5,6.47
Register JSF,213,44,7,23,276,1009,3,1105,100.00%,2.2,18.5,157.37
TOTAL,39243,33,7,43,112,543,2,14657,97.35%,392.5,3036.3,160.21
