Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,748,6,4,7,10,46,2,759,100.00%,7.5,62.6,31.50
Login,6437,57,24,50,278,478,11,14503,100.00%,64.4,463.1,302.43
Login JSF,748,33,4,14,169,441,2,7347,100.00%,7.5,62.7,279.57
QuotesPing JSF,7820,11,4,10,16,38,2,14485,100.00%,78.1,651.4,195.05
Quotes,544,16,9,29,70,112,4,142,0.00%,35.7,163.0,21.98
Account,179,15,9,28,70,108,4,115,0.00%,11.6,52.9,20.46
Home,226,19,9,49,88,112,4,228,0.00%,14.7,67.3,27.47
Portfolio,284,17,8,39,75,122,4,219,0.00%,18.3,83.5,26.02
Home JSF,3946,28,5,12,191,436,2,7323,100.00%,39.6,330.4,168.59
Quotes JSF,8309,30,5,14,233,440,2,7381,100.00%,83.4,695.0,154.76
Portfolio JSF,3646,27,5,13,211,444,2,2076,100.00%,36.7,305.9,98.37
Logout,58,20,9,54,82,123,4,169,0.00%,3.8,17.2,30.83
Buy,42,21,11,65,88,108,5,108,0.00%,3.6,16.4,25.45
WS1 open close,1590,30,4,9,90,420,2,7559,100.00%,16.0,.0,249.70
QuotePing JSF,499,29,4,12,252,457,2,984,100.00%,5.0,41.9,103.67
Buy JSF,495,31,5,12,107,403,2,4046,100.00%,5.0,41.8,196.87
PortfolioPing JSF,533,34,5,11,273,511,2,2073,100.00%,5.4,45.0,139.03
Update Profile,24,19,11,61,65,114,4,114,0.00%,2.7,12.1,25.02
Account JSF,2826,27,5,12,245,431,2,1007,100.00%,28.6,238.4,92.77
Update Profile JSF,423,31,5,12,128,402,2,3805,100.00%,4.3,35.8,197.31
Register Page,15,9,2,4,38,75,1,75,0.00%,1.5,9.3,19.62
Register,15,87,82,90,99,231,56,231,0.00%,1.4,11.9,40.40
HomePing JSF,944,7,4,9,15,34,2,761,100.00%,9.7,80.8,29.66
Logout JSF,943,41,5,19,281,473,2,7388,100.00%,9.7,80.7,260.86
RegisterPing,227,6,4,8,14,36,2,239,100.00%,2.4,19.9,16.27
Register JSF,227,28,5,14,296,378,2,600,100.00%,2.4,19.9,87.39
TOTAL,41748,29,5,28,101,431,1,14503,96.68%,416.1,3212.8,192.26
