Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6806,46,22,40,238,341,11,22164,100.00%,68.1,489.6,292.73
WelcomePing JSF,775,6,4,7,9,38,2,484,100.00%,7.8,64.9,28.62
Login JSF,775,17,4,9,176,264,2,565,100.00%,7.8,65.0,56.27
Home,215,8,8,14,16,24,4,42,0.00%,15.2,69.3,4.38
Quotes,511,9,8,15,19,30,4,52,0.00%,35.0,159.8,5.02
Portfolio,264,10,9,15,19,43,4,55,0.00%,17.9,81.9,7.26
QuotesPing JSF,7784,13,4,8,12,35,1,14658,100.00%,78.1,651.5,270.13
Account,154,9,9,15,17,21,4,31,0.00%,11.1,50.6,4.08
Quotes JSF,8294,23,4,10,193,324,2,7436,100.00%,83.3,694.5,123.21
Account JSF,2835,23,4,10,187,310,2,7437,100.00%,28.6,238.4,162.36
Logout,53,10,9,17,18,19,5,33,0.00%,3.7,16.9,5.03
Buy,32,9,8,15,16,23,4,23,0.00%,2.6,11.7,4.28
Portfolio JSF,3607,21,4,10,196,315,2,2084,100.00%,36.4,303.7,82.81
HomePing JSF,961,8,4,8,14,32,2,2091,100.00%,9.7,81.1,69.61
Logout JSF,961,23,4,11,210,323,2,615,100.00%,9.7,81.0,74.79
Home JSF,3847,25,4,10,171,325,2,7859,100.00%,39.0,325.1,199.86
Update Profile,19,8,7,14,16,17,5,17,0.00%,1.5,6.7,3.59
Update Profile JSF,424,17,4,9,17,309,2,537,100.00%,4.3,35.9,58.17
QuotePing JSF,521,17,4,9,141,292,2,555,100.00%,5.3,44.3,59.42
PortfolioPing JSF,504,21,4,9,174,384,2,1162,100.00%,5.1,42.7,85.29
Buy JSF,521,37,4,11,209,333,2,7436,100.00%,5.3,44.2,332.99
WS1 open close,1618,15,4,7,16,283,2,569,100.00%,16.5,.0,54.86
Register Page,12,2,2,3,3,4,1,4,0.00%,1.0,6.1,0.95
RegisterPing,221,5,4,8,11,27,2,33,100.00%,2.3,18.9,4.06
Register JSF,220,21,4,9,207,296,2,493,100.00%,2.3,19.1,65.04
Register,12,89,82,137,137,182,50,182,0.00%,.9,7.8,36.56
TOTAL,41946,23,5,24,48,310,1,22164,96.97%,419.6,3238.9,196.48
