Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6469,65,30,218,345,481,12,3926,100.00%,64.8,465.6,114.41
WelcomePing JSF,733,6,4,9,14,37,2,355,100.00%,7.3,61.2,18.76
Login JSF,733,32,5,21,262,432,2,630,100.00%,7.4,61.4,88.33
QuotesPing JSF,7647,9,5,14,20,38,2,3913,100.00%,76.9,641.2,66.04
Quotes,407,25,10,37,146,204,5,220,0.00%,47.3,216.2,45.41
Account,135,22,11,30,111,196,4,207,0.00%,15.9,72.7,39.21
Home,168,29,11,91,180,206,5,244,0.00%,19.3,88.1,50.90
Portfolio,218,24,10,37,153,205,5,224,0.00%,26.5,120.9,44.65
Quotes JSF,8152,34,6,24,281,413,2,3906,100.00%,82.1,684.2,99.77
Portfolio JSF,3528,31,6,18,272,434,2,692,100.00%,35.6,296.8,88.83
Logout,60,25,12,27,162,186,6,242,0.00%,7.1,32.2,45.73
Account JSF,2782,33,6,18,274,426,2,2115,100.00%,28.1,234.2,99.06
Home JSF,3625,35,6,26,293,441,2,721,100.00%,36.6,305.5,95.74
Buy,21,21,7,27,91,178,5,178,0.00%,3.4,15.6,39.41
Update Profile,13,23,12,18,18,175,5,175,0.00%,2.2,10.1,43.96
WS1 open close,1578,29,5,14,252,397,2,645,100.00%,16.1,.0,85.92
PortfolioPing JSF,486,29,6,16,273,439,2,692,100.00%,5.0,41.5,92.10
Update Profile JSF,420,34,6,23,303,404,2,674,100.00%,4.3,35.9,94.12
QuotePing JSF,514,36,6,64,274,437,2,692,100.00%,5.3,43.9,96.96
Register Page,15,18,3,5,86,153,1,153,0.00%,2.6,16.4,41.49
Buy JSF,514,38,6,23,337,447,2,695,100.00%,5.3,43.9,103.64
Register,15,105,88,100,185,276,58,276,0.00%,2.5,20.9,52.85
HomePing JSF,908,7,5,13,20,32,2,441,100.00%,9.4,78.4,15.58
Logout JSF,906,30,6,19,270,372,2,673,100.00%,9.4,78.2,83.70
RegisterPing,208,7,5,15,18,35,2,46,100.00%,2.2,18.2,6.25
Register JSF,207,27,6,22,213,364,3,397,100.00%,2.2,18.2,73.25
TOTAL,40462,32,7,39,245,417,1,3926,97.40%,405.0,3132.4,92.46
