Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,693,11,5,13,18,190,2,996,100.00%,7.0,57.9,49.41
Login,5925,69,35,174,301,532,12,1085,100.00%,59.3,426.2,110.03
Login JSF,693,29,6,19,183,496,2,884,100.00%,7.0,58.1,90.97
QuotesPing JSF,7252,10,6,17,24,46,2,1014,100.00%,72.8,607.2,26.98
Portfolio,257,28,10,88,154,191,4,219,0.00%,12.8,58.5,45.96
Quotes,526,27,11,48,165,204,4,945,0.00%,25.7,117.5,59.39
Home,192,33,11,136,173,196,4,206,0.00%,9.7,44.4,52.83
Account,161,19,11,32,58,169,4,192,0.00%,9.4,42.9,30.77
Quotes JSF,7759,33,7,25,244,480,2,2564,100.00%,78.0,649.8,102.55
Home JSF,3676,33,7,25,227,513,2,1026,100.00%,37.0,308.3,101.03
Account JSF,2653,37,7,34,296,495,2,1032,100.00%,26.7,222.8,102.40
Portfolio JSF,3528,39,7,26,259,550,2,14732,100.00%,35.5,296.2,269.15
Logout,51,26,12,38,132,163,5,164,0.00%,2.5,11.5,39.73
Buy,31,35,9,138,146,229,4,229,0.00%,1.9,8.8,55.74
WS1 open close,1548,33,5,17,241,527,2,924,100.00%,15.6,.0,102.82
QuotePing JSF,512,31,6,21,234,435,2,1028,100.00%,5.2,43.1,99.27
PortfolioPing JSF,474,30,6,20,230,438,2,941,100.00%,4.8,40.0,93.12
Buy JSF,511,42,7,147,309,499,2,638,100.00%,5.2,43.1,107.89
Update Profile,24,63,8,51,205,993,5,993,0.00%,1.5,6.8,197.86
HomePing JSF,845,9,6,17,27,44,2,353,100.00%,8.6,71.8,18.27
Logout JSF,844,32,7,27,202,467,2,1013,100.00%,8.6,71.6,99.56
Register Page,10,2,2,4,4,6,1,6,0.00%,1.9,12.1,1.36
Register,10,90,84,97,97,154,69,154,0.00%,1.9,15.4,22.94
Update Profile JSF,386,32,6,20,239,505,2,935,100.00%,4.0,33.0,100.63
RegisterPing,180,9,6,14,20,31,2,303,100.00%,1.9,15.5,22.64
Register JSF,180,30,7,23,239,450,3,545,100.00%,1.9,15.5,86.49
TOTAL,38921,34,8,47,202,468,1,14732,96.76%,389.3,3002.3,118.81
