Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,748,5,3,6,9,26,2,273,100.00%,7.5,62.3,14.66
Login,6273,47,22,43,243,330,12,14589,100.00%,62.7,450.8,212.67
Login JSF,747,14,4,8,17,244,2,818,100.00%,7.5,62.6,56.79
Quotes,441,9,8,14,18,72,4,99,0.00%,40.4,184.5,10.06
Portfolio,224,9,7,12,16,67,4,75,0.00%,20.3,92.8,8.78
QuotesPing JSF,7947,6,4,8,13,30,1,3806,100.00%,79.9,666.7,54.67
Home,182,9,7,13,17,65,4,74,0.00%,17.1,77.9,8.90
Account,133,8,8,12,15,18,4,25,0.00%,12.9,58.8,3.33
Quotes JSF,8445,25,5,11,203,305,2,7350,100.00%,84.8,707.1,150.04
Home JSF,3828,22,4,11,207,311,2,3804,100.00%,38.5,321.3,90.94
Buy,32,7,7,11,12,16,5,16,0.00%,3.6,16.4,2.52
Logout,51,10,9,19,20,25,5,31,0.00%,4.8,21.7,5.56
WS1 open close,1613,20,4,7,166,296,2,2133,100.00%,16.3,.0,90.38
QuotePing JSF,499,20,4,9,83,288,2,2156,100.00%,5.0,42.0,108.49
Buy JSF,498,24,4,9,187,327,2,1237,100.00%,5.0,42.0,105.82
Update Profile,17,7,6,13,17,17,4,17,0.00%,2.4,10.7,4.14
Portfolio JSF,3663,21,4,10,190,305,2,3818,100.00%,37.1,309.6,94.29
Account JSF,2957,23,4,10,205,298,2,2136,100.00%,30.0,249.9,93.94
HomePing JSF,917,7,4,8,12,28,2,2222,100.00%,9.4,78.1,73.87
Logout JSF,917,20,5,11,164,295,2,1278,100.00%,9.3,77.9,70.91
Register Page,9,3,2,6,6,6,1,6,0.00%,7.8,49.6,1.73
Update Profile JSF,428,29,4,11,222,332,2,2145,100.00%,4.4,36.6,134.58
PortfolioPing JSF,489,21,4,9,162,288,2,1313,100.00%,5.0,42.1,96.72
Register,9,82,75,96,147,147,62,147,0.00%,7.4,60.7,24.94
RegisterPing,202,5,4,8,11,31,2,39,100.00%,2.1,17.8,5.43
Register JSF,202,21,5,14,189,256,2,345,100.00%,2.1,17.8,58.49
TOTAL,41471,22,5,24,106,298,1,14589,97.35%,414.3,3208.1,124.66
