Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6291,79,39,182,393,660,12,1153,100.00%,62.8,451.7,129.96
WelcomePing JSF,741,11,6,17,27,64,2,496,100.00%,7.4,62.1,35.60
Home,221,28,11,87,154,206,4,228,0.00%,15.1,69.2,46.06
Quotes,529,24,11,33,138,225,5,246,0.00%,36.6,167.1,43.74
Account,152,23,11,26,136,208,4,255,0.00%,10.3,47.2,42.03
Portfolio,232,30,12,77,161,242,4,248,0.00%,16.5,75.2,51.55
Login JSF,741,32,7,21,192,514,2,1084,100.00%,7.4,62.0,103.04
Home JSF,3626,35,7,24,213,491,2,4531,100.00%,36.6,305.6,129.83
QuotesPing JSF,7530,10,6,18,26,49,2,1339,100.00%,75.7,631.4,34.29
Buy,27,21,11,29,102,114,6,114,0.00%,2.1,9.4,28.08
Quotes JSF,8026,41,7,33,289,594,2,7495,100.00%,80.8,673.2,161.59
Logout,61,42,13,179,223,242,5,495,0.00%,4.1,18.6,84.60
WS1 open close,1515,34,6,19,237,504,2,1318,100.00%,15.3,.0,111.93
Update Profile,25,45,10,149,193,205,5,205,0.00%,2.3,10.6,66.79
Portfolio JSF,3548,37,7,28,256,593,2,1121,100.00%,35.8,298.9,115.44
QuotePing JSF,498,35,7,22,182,662,2,1079,100.00%,5.1,42.4,122.46
Buy JSF,498,39,7,28,278,590,2,1096,100.00%,5.1,42.5,121.36
HomePing JSF,924,10,6,18,26,46,2,473,100.00%,9.4,78.7,28.48
Logout JSF,924,37,8,31,262,457,3,1070,100.00%,9.4,78.4,102.85
Account JSF,2799,39,7,26,279,635,2,1116,100.00%,28.5,237.8,122.93
PortfolioPing JSF,497,35,7,26,221,502,2,1055,100.00%,5.1,42.6,105.16
Register Page,14,3,3,6,6,7,2,7,0.00%,1.3,8.3,1.45
Update Profile JSF,388,38,7,22,292,613,2,1087,100.00%,4.0,33.5,121.41
Register,14,145,106,230,230,251,72,251,0.00%,1.3,10.5,65.08
RegisterPing,212,12,7,19,33,191,2,252,100.00%,2.2,18.8,25.54
Register JSF,212,38,7,34,346,493,3,631,100.00%,2.2,18.7,105.81
TOTAL,40245,38,8,53,208,517,2,7495,96.83%,401.9,3106.4,118.32
