Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,42,206,7,604,1109,3410,2,3410,21.43%,.0,.0,600.38
Login,298,36656,126,5007,5862,748888,3,4844195,36.91%,.0,.0,299176.30
Login JSF,42,4022,28,238,667,165391,12,165391,21.43%,.0,.0,25202.01
Portfolio,264,12207,20,725,3915,233600,1,715152,2.27%,.0,.0,79401.25
Quotes,610,11850,15,633,30104,231029,1,744950,2.79%,.0,.0,72419.30
Home,221,19040,18,618,30119,711280,2,744934,3.62%,.0,.0,101740.46
Account,158,13268,13,858,1533,230928,2,712585,3.80%,.0,.0,69978.87
QuotesPing JSF,149,4746,9,24,56,183395,4,520447,6.04%,.0,.0,44956.59
Logout,49,4803,5,486,634,230024,2,230024,2.04%,.0,.0,32508.30
Buy,29,8179,230,433,999,230862,7,230862,27.59%,.0,.0,42083.62
Quotes JSF,150,65327,11,27,41,4844194,5,4844196,5.33%,.0,.0,555599.77
Update Profile,26,24076,15,842,230353,231435,3,231435,7.69%,.0,.0,67086.15
Portfolio JSF,80,4244,15,34,292,106603,6,230412,7.50%,.0,.0,28065.37
Home JSF,75,64622,8,22,99,785,4,4844196,8.00%,.0,.0,555614.10
Account JSF,53,4322,9,18,42,755,4,227681,5.66%,.0,.0,30974.46
HomePing JSF,13,372642,9,47,47,4844195,4,4844195,7.69%,.0,.0,1290825.96
WS1 open close,28,70,5,97,368,1301,3,1301,7.14%,.0,.0,246.88
Logout JSF,12,113,10,19,19,1234,7,1234,8.33%,.0,.0,337.96
QuotePing JSF,10,22667,7,158,158,226459,4,226459,20.00%,.0,.0,67930.61
PortfolioPing JSF,11,84,15,30,30,765,8,765,9.09%,.0,.0,215.40
Sell,19,76,14,286,335,409,8,409,0.00%,7.0,57.1,120.11
Register Page,5,9,1,1,45,45,1,45,0.00%,4.8,31.3,17.60
Buy JSF,8,17,16,25,33,33,9,33,0.00%,5.7,34.4,7.71
Register,5,11,7,14,22,22,6,22,0.00%,5.0,42.8,6.26
RegisterPing,1,11,11,11,11,11,11,11,0.00%,90.9,480.1,0.00
Register JSF,1,23,23,23,23,23,23,23,0.00%,43.5,235.0,0.00
Update Profile JSF,4,10,8,19,19,19,6,19,0.00%,5.0,47.7,5.02
TOTAL,2363,21140,12,799,5006,520447,1,4844196,9.10%,.0,.1,233457.50
