Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,5795,53,28,58,261,449,12,2214,100.00%,58.0,417.3,89.59
Quotes,464,10,8,15,21,56,4,99,0.00%,41.1,187.9,9.45
Portfolio,256,9,8,14,18,52,4,70,0.00%,22.3,101.7,7.86
Home,202,9,7,14,17,48,4,89,0.00%,18.5,84.3,9.19
Account,157,8,8,13,17,21,4,24,0.00%,13.9,63.3,3.80
Logout,52,10,10,17,19,24,4,35,0.00%,4.6,20.9,5.56
WelcomePing JSF,676,7,4,9,12,33,2,441,100.00%,6.8,57.0,28.51
Buy,32,8,7,13,14,24,5,24,0.00%,5.0,22.6,3.82
Login JSF,676,23,5,13,200,377,2,534,100.00%,6.8,57.0,70.61
QuotesPing JSF,7257,10,5,11,17,34,2,14659,100.00%,73.4,612.2,184.49
Quotes JSF,7720,24,5,13,200,412,2,3898,100.00%,78.2,651.5,89.11
Account JSF,2627,23,5,14,192,409,2,506,100.00%,26.6,222.2,71.81
Update Profile,25,8,7,12,14,19,4,19,0.00%,3.2,14.6,3.44
Home JSF,3642,23,5,12,203,413,2,502,100.00%,37.0,308.3,74.06
PortfolioPing JSF,504,22,5,13,141,399,2,473,100.00%,5.1,42.8,73.14
WS1 open close,1569,24,5,10,211,396,2,891,100.00%,16.0,.0,77.81
Portfolio JSF,3466,23,5,12,190,412,2,472,100.00%,35.3,294.9,73.09
Register Page,12,2,2,3,3,4,1,4,0.00%,2.1,13.4,0.69
QuotePing JSF,473,22,5,11,186,405,2,490,100.00%,4.9,40.5,72.80
HomePing JSF,822,6,5,10,15,31,2,220,100.00%,8.5,70.6,8.98
Register,12,97,74,184,184,197,59,197,0.00%,2.1,17.0,44.95
Buy JSF,472,29,5,14,226,421,2,495,100.00%,4.9,40.5,86.66
Logout JSF,822,21,5,12,150,407,2,487,100.00%,8.5,70.5,67.57
Update Profile JSF,398,20,5,12,25,389,2,430,100.00%,4.1,34.4,67.37
RegisterPing,178,12,5,13,20,46,2,887,100.00%,1.9,15.5,68.09
Register JSF,177,14,6,13,19,233,2,440,100.00%,1.9,15.7,51.07
TOTAL,38486,24,6,31,82,405,1,14659,96.85%,385.3,2970.1,107.30
