Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,688,7,5,10,16,49,2,457,100.00%,6.9,57.4,19.90
Login,6002,66,31,147,311,543,12,8171,100.00%,60.1,431.9,152.29
Login JSF,686,30,6,17,178,504,2,1014,100.00%,6.9,57.4,100.36
QuotesPing JSF,7280,10,6,14,23,46,2,8161,100.00%,73.0,608.6,110.46
Portfolio,281,35,10,162,210,257,4,316,0.00%,16.5,75.6,66.14
Quotes,544,32,10,148,209,245,4,272,0.00%,32.5,148.4,60.46
Home,223,33,9,158,190,251,4,263,0.00%,13.9,63.4,61.93
Quotes JSF,7775,36,6,26,276,485,2,4119,100.00%,78.0,650.4,113.54
Account,186,21,9,25,138,218,4,332,0.00%,11.5,52.6,46.30
Logout,57,37,17,132,172,221,4,229,0.00%,3.4,15.4,55.92
Account JSF,2649,34,6,25,272,475,2,1009,100.00%,26.7,222.4,100.50
WS1 open close,1554,33,5,15,265,523,2,1007,100.00%,15.7,.0,102.76
Buy,43,22,10,32,149,174,4,174,0.00%,3.3,15.1,38.98
Home JSF,3519,35,6,24,277,476,2,1016,100.00%,35.5,296.1,101.39
Portfolio JSF,3430,31,6,18,244,471,2,996,100.00%,34.6,288.9,93.81
HomePing JSF,842,9,6,14,21,40,2,387,100.00%,8.5,71.2,28.63
Logout JSF,842,30,6,21,243,418,2,985,100.00%,8.5,71.2,89.22
Update Profile,26,19,9,16,17,236,5,236,0.00%,1.7,7.6,43.54
QuotePing JSF,506,38,6,48,316,483,2,689,100.00%,5.1,42.9,103.83
Buy JSF,504,33,6,19,239,596,2,1029,100.00%,5.1,42.8,109.81
Register Page,14,2,2,4,4,5,1,5,0.00%,1.5,9.2,1.18
Update Profile JSF,391,37,6,20,292,478,2,1008,100.00%,4.0,33.5,111.29
PortfolioPing JSF,491,28,6,18,218,405,2,983,100.00%,5.1,42.3,88.17
Register,14,85,75,106,106,165,49,165,0.00%,1.4,11.8,29.09
RegisterPing,185,7,5,11,17,33,2,58,100.00%,1.9,16.1,6.21
Register JSF,185,36,6,20,303,507,2,695,100.00%,1.9,16.1,105.97
TOTAL,38917,33,7,43,224,468,1,8171,96.43%,389.3,2996.0,112.34
