Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,662,14,7,25,46,149,2,649,100.00%,6.6,55.3,34.79
Login,5713,93,46,241,319,614,13,1706,100.00%,57.2,411.0,136.15
Login JSF,661,31,8,44,144,345,2,1708,100.00%,6.6,55.4,112.16
QuotesPing JSF,6778,12,7,25,37,90,2,537,100.00%,68.3,569.5,21.77
WS1 open close,1416,32,6,54,220,507,2,1648,100.00%,14.3,.0,100.49
Portfolio,234,97,67,158,209,795,15,903,0.00%,13.4,61.3,119.81
Quotes,429,107,67,188,302,829,13,901,0.00%,23.9,109.2,132.49
Home,164,108,69,184,417,836,14,887,0.00%,10.5,48.1,142.62
Quotes JSF,7219,29,8,49,183,345,2,1708,100.00%,73.1,609.2,87.44
Home JSF,3321,30,7,48,169,342,2,1708,100.00%,33.6,280.8,99.48
Portfolio JSF,3127,31,7,45,173,361,2,7658,100.00%,31.8,265.4,161.30
Account,145,79,63,147,181,222,15,274,0.00%,8.5,38.8,49.77
HomePing JSF,823,12,7,23,37,95,2,257,100.00%,8.4,69.9,17.50
Logout JSF,822,30,8,45,192,372,2,1705,100.00%,8.4,70.0,92.54
Buy,20,80,68,128,157,193,15,193,0.00%,1.5,6.9,42.08
Account JSF,2412,32,7,57,212,376,2,1669,100.00%,24.6,205.5,97.48
Logout,56,125,94,261,270,290,20,299,0.00%,3.1,14.1,82.33
QuotePing JSF,449,27,7,49,173,363,2,516,100.00%,4.6,38.5,66.84
Update Profile,17,78,80,123,126,130,18,130,0.00%,1.2,5.3,35.50
Buy JSF,446,28,8,53,173,350,2,584,100.00%,4.6,38.5,68.63
PortfolioPing JSF,431,40,8,86,215,498,2,1690,100.00%,4.5,37.6,136.12
Update Profile JSF,342,25,7,36,118,375,2,457,100.00%,3.6,30.1,61.82
Register Page,16,688,657,1256,1367,1398,4,1398,0.00%,1.1,7.1,489.15
RegisterPing,188,10,7,21,30,52,2,100,100.00%,2.1,17.2,10.80
Register JSF,188,32,9,64,219,318,3,365,100.00%,2.1,17.2,67.09
Register,16,4468,5272,5342,5348,5366,789,5366,0.00%,1.2,9.6,1726.61
TOTAL,36095,40,9,89,200,392,2,7658,96.96%,361.2,2787.5,145.35
