Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6064,62,26,157,323,515,12,7601,100.00%,60.7,436.3,180.07
WelcomePing JSF,729,6,4,9,12,30,2,407,100.00%,7.3,60.8,18.98
Quotes,629,29,9,115,186,260,4,369,0.00%,34.6,158.0,57.49
Home,267,26,9,39,178,217,4,291,0.00%,15.0,68.3,52.27
Login JSF,727,33,5,17,238,480,2,1057,100.00%,7.3,61.1,104.51
QuotesPing JSF,7506,8,5,13,21,37,2,4060,100.00%,75.4,629.1,50.52
Portfolio,287,28,9,117,178,249,4,263,0.00%,16.0,73.0,56.15
Account,189,25,9,34,155,198,4,288,0.00%,10.6,48.2,48.09
Quotes JSF,8013,31,5,20,254,456,2,7476,100.00%,80.6,671.8,123.57
Home JSF,3724,31,5,18,261,468,2,1048,100.00%,37.6,313.5,96.38
Account JSF,2731,29,5,14,222,490,2,1036,100.00%,27.6,229.9,94.63
Logout,57,26,9,27,166,183,5,211,0.00%,3.1,14.0,46.96
Portfolio JSF,3454,32,5,16,243,463,2,7473,100.00%,34.9,291.1,156.69
WS1 open close,1556,38,4,13,285,498,2,3939,100.00%,15.7,.0,173.78
Buy,44,28,9,23,197,256,4,256,0.00%,3.0,13.6,59.73
QuotePing JSF,513,29,5,14,227,505,2,1008,100.00%,5.2,43.3,94.93
Update Profile,30,29,10,27,147,279,4,279,0.00%,1.9,8.5,59.27
Buy JSF,511,27,5,12,219,419,2,633,100.00%,5.2,43.1,83.94
PortfolioPing JSF,484,32,5,19,262,411,2,1010,100.00%,4.9,40.9,100.71
Update Profile JSF,367,31,5,16,276,435,2,1030,100.00%,3.7,31.2,98.96
Register Page,15,2,3,4,4,4,1,4,0.00%,.9,6.0,1.15
Register,15,126,91,244,258,382,52,382,0.00%,.9,7.6,90.28
HomePing JSF,904,6,5,11,18,38,2,53,100.00%,9.4,78.1,6.14
Logout JSF,903,47,5,59,299,511,2,7588,100.00%,9.4,78.2,273.69
RegisterPing,210,6,4,13,20,27,2,39,100.00%,2.2,18.5,5.72
Register JSF,210,24,5,18,126,397,2,481,100.00%,2.2,18.5,72.52
TOTAL,40139,31,6,33,206,455,1,7601,96.18%,401.5,3091.9,126.16
