Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6049,47,23,46,249,409,11,7492,100.00%,60.4,434.6,158.26
WelcomePing JSF,736,30,4,7,10,36,2,14514,100.00%,7.4,61.5,552.73
Quotes,520,8,7,12,14,18,4,20,0.00%,33.6,153.3,2.98
Home,207,7,7,12,14,18,4,19,0.00%,14.3,65.4,2.89
Portfolio,270,7,7,11,12,17,4,21,0.00%,17.6,80.2,2.55
Login JSF,735,30,4,9,22,398,2,7484,100.00%,7.4,61.7,286.98
QuotesPing JSF,7590,6,4,9,14,29,2,742,100.00%,76.2,635.7,18.97
Account,149,7,7,11,12,16,4,16,0.00%,10.2,46.4,2.40
Quotes JSF,8082,26,5,11,208,384,2,7509,100.00%,81.1,675.6,173.78
Logout,53,9,8,15,22,22,4,30,0.00%,3.4,15.4,5.23
Portfolio JSF,3597,22,5,11,130,382,2,3800,100.00%,36.2,301.7,97.86
Account JSF,2730,24,4,10,96,367,2,7465,100.00%,27.5,229.1,174.53
Buy,28,8,8,11,12,13,4,13,0.00%,2.0,9.2,2.06
Home JSF,3681,21,4,10,106,353,2,3802,100.00%,37.1,309.9,95.93
HomePing JSF,908,7,4,10,15,30,2,547,100.00%,9.2,76.9,23.60
Update Profile,22,7,7,10,10,11,6,11,0.00%,1.6,7.3,1.58
WS1 open close,1582,19,4,8,138,336,1,744,100.00%,16.0,.0,69.95
Logout JSF,908,22,5,13,165,387,2,777,100.00%,9.2,76.7,78.76
Update Profile JSF,420,21,4,10,135,363,2,401,100.00%,4.3,35.6,69.35
PortfolioPing JSF,499,22,4,12,149,383,2,640,100.00%,5.1,42.3,76.95
RegisterPing,201,5,4,10,15,25,2,28,100.00%,2.1,17.3,4.52
QuotePing JSF,500,32,4,10,258,391,2,3799,100.00%,5.1,42.7,187.34
Register JSF,201,66,5,18,266,599,2,7430,100.00%,2.1,17.3,529.65
Register Page,13,2,2,3,3,5,1,5,0.00%,1.0,6.1,1.03
Buy JSF,498,25,4,11,213,477,2,570,100.00%,5.1,42.5,83.72
Register,13,66,60,78,78,140,48,140,0.00%,.9,7.8,22.42
TOTAL,40192,23,5,25,46,366,1,14514,96.83%,401.6,3100.5,152.79
