Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,50,31765,5641,81978,165804,217773,1397,217773,100.00%,.2,1.7,54170.75
Portfolio,32,63837,30314,156368,162287,185836,1326,185836,6.25%,.1,.7,64220.97
Quotes,71,47761,12239,150709,162859,173092,1122,187015,0.00%,.3,1.5,58492.88
Home,24,27389,8364,118244,138153,156998,1101,156998,0.00%,.1,.5,45633.90
Account,15,64849,34444,148100,148760,174282,2823,174282,0.00%,.1,.3,62043.89
Buy,1,160785,160785,160785,160785,160785,160785,160785,100.00%,.0,.1,0.00
TOTAL,193,45663,12205,151427,162910,187015,1101,217773,27.46%,.8,4.3,59212.09
