Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,723,6,4,9,13,42,2,306,100.00%,7.2,60.3,15.29
Login,6363,59,28,199,283,462,12,812,100.00%,63.6,457.6,96.01
Login JSF,722,35,5,130,274,420,2,747,100.00%,7.2,60.4,95.08
QuotesPing JSF,7112,8,5,12,19,41,2,1282,100.00%,71.3,595.0,30.14
Quotes,387,45,11,218,261,335,4,369,0.00%,24.8,113.2,86.29
Home,175,44,10,214,241,327,4,374,0.00%,11.7,53.3,84.28
Portfolio,189,38,9,215,270,311,4,369,0.00%,12.9,58.9,80.78
Quotes JSF,7557,31,5,20,252,418,2,778,100.00%,75.9,632.7,86.39
Account,120,43,10,241,256,284,4,316,0.00%,7.8,35.8,82.13
Portfolio JSF,3309,33,5,20,245,419,2,7597,100.00%,33.4,278.3,157.82
Logout,52,37,10,76,252,268,4,280,0.00%,3.4,15.6,74.44
Buy,19,46,12,225,236,249,5,249,0.00%,1.5,7.0,82.59
Home JSF,3456,30,5,18,243,399,2,747,100.00%,35.0,291.8,83.32
Update Profile,20,56,10,208,268,268,5,268,0.00%,1.5,6.9,90.58
WS1 open close,1462,28,4,12,234,406,2,744,100.00%,14.8,.0,83.93
Account JSF,2566,33,5,30,255,444,2,788,100.00%,26.0,216.8,92.69
HomePing JSF,916,7,5,11,20,41,2,345,100.00%,9.3,77.5,16.95
Logout JSF,912,34,5,28,261,452,2,733,100.00%,9.3,77.2,94.77
Update Profile JSF,387,35,5,18,266,445,2,759,100.00%,3.9,32.9,99.23
PortfolioPing JSF,477,30,5,15,231,435,2,713,100.00%,4.9,40.7,88.30
Register Page,11,2,2,4,4,8,1,8,0.00%,.9,5.9,1.92
Register,11,122,67,292,292,317,46,317,0.00%,.9,7.4,98.54
QuotePing JSF,455,30,5,20,228,392,2,692,100.00%,4.7,39.0,87.09
Buy JSF,454,24,5,12,214,319,2,703,100.00%,4.7,39.4,75.03
RegisterPing,219,6,5,11,16,32,2,40,100.00%,2.3,19.0,5.43
Register JSF,219,29,6,17,229,423,2,552,100.00%,2.3,19.0,86.40
TOTAL,38293,31,6,38,233,412,1,7597,97.43%,382.9,2962.1,89.62
