Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6042,54,24,110,263,634,12,1256,100.00%,60.5,435.2,109.26
Quotes,416,38,10,115,182,250,4,944,0.00%,27.1,124.0,101.74
Portfolio,197,38,11,119,158,224,5,943,0.00%,13.6,62.0,103.24
Home,166,27,11,102,132,209,4,239,0.00%,11.0,50.4,44.77
Account,124,49,10,108,151,944,5,949,0.00%,9.1,41.4,145.98
Logout,55,22,13,24,93,154,5,183,0.00%,3.6,16.3,34.70
Buy,26,51,11,17,126,944,4,944,0.00%,1.8,8.4,179.99
WelcomePing JSF,703,5,4,8,11,28,2,289,100.00%,7.1,59.3,12.80
Update Profile,18,65,10,25,107,909,4,909,0.00%,1.8,8.0,205.74
Login JSF,702,24,5,14,135,360,2,1184,100.00%,7.1,59.3,92.74
QuotesPing JSF,7217,6,4,11,17,33,2,924,100.00%,73.1,609.8,20.06
Quotes JSF,7659,29,5,20,199,492,2,1253,100.00%,77.7,647.5,99.47
Portfolio JSF,3350,29,5,16,181,419,2,4176,100.00%,34.0,283.6,120.10
Account JSF,2646,29,5,17,204,451,2,1239,100.00%,26.9,224.3,100.56
Home JSF,3583,30,5,19,196,469,2,1253,100.00%,36.4,304.0,109.17
HomePing JSF,876,8,5,11,20,38,2,1011,100.00%,8.9,74.4,42.91
PortfolioPing JSF,488,27,5,17,160,449,2,961,100.00%,5.0,41.6,96.31
Logout JSF,875,29,6,19,198,440,2,1219,100.00%,8.9,74.4,101.42
WS1 open close,1456,27,4,12,188,426,2,1253,100.00%,14.9,.0,96.54
QuotePing JSF,456,40,5,76,215,401,2,3905,100.00%,4.7,38.9,206.39
Buy JSF,455,26,5,14,137,422,2,1147,100.00%,4.7,38.9,93.81
Register Page,13,2,2,5,5,6,1,6,0.00%,1.0,6.1,1.33
Update Profile JSF,373,36,5,25,200,682,2,1252,100.00%,3.8,32.0,122.15
Register,13,85,86,125,125,158,51,158,0.00%,1.0,7.8,28.69
RegisterPing,203,6,5,11,16,26,2,40,100.00%,2.1,17.6,5.15
Register JSF,203,30,6,126,223,316,2,633,100.00%,2.1,17.6,79.89
TOTAL,38315,28,6,32,157,401,1,4176,97.32%,383.6,2970.2,96.03
