Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,780,9,4,8,11,151,2,1172,100.00%,7.8,65.1,52.48
Login,6851,57,25,52,305,437,11,14608,100.00%,68.6,493.0,252.48
Login JSF,779,38,5,11,32,365,2,14798,100.00%,7.9,65.6,533.45
Quotes,563,11,9,16,20,87,4,113,0.00%,57.5,262.8,12.38
Portfolio,268,10,9,15,18,34,4,102,0.00%,25.8,118.0,8.59
Home,213,11,9,17,21,78,4,112,0.00%,21.0,96.0,12.70
QuotesPing JSF,7943,10,4,10,17,37,2,7276,100.00%,79.7,665.0,145.54
Account,155,10,9,15,16,23,4,28,0.00%,15.3,69.9,4.08
Quotes JSF,8418,29,5,14,235,380,2,7516,100.00%,84.6,705.4,194.15
Portfolio JSF,3650,27,5,13,214,376,2,7219,100.00%,36.7,306.3,167.63
Account JSF,2795,28,5,13,231,380,2,7286,100.00%,28.1,234.8,172.80
WS1 open close,1581,36,4,9,256,425,2,7212,100.00%,15.9,.0,245.53
HomePing JSF,970,6,4,11,16,32,2,696,100.00%,9.8,81.6,22.81
Buy,34,9,8,16,20,25,5,25,0.00%,5.0,22.8,4.90
Logout,58,12,10,22,23,30,5,31,0.00%,5.8,26.6,6.02
Logout JSF,967,28,5,14,257,391,2,3713,100.00%,9.8,81.4,144.60
PortfolioPing JSF,539,23,5,12,211,382,2,798,100.00%,5.5,45.5,76.98
Home JSF,3860,34,5,13,231,391,2,7284,100.00%,39.1,326.3,253.73
Update Profile,26,10,10,14,17,22,6,22,0.00%,3.0,13.8,3.96
Register Page,14,3,3,4,4,9,1,9,0.00%,2.6,16.5,1.86
Update Profile JSF,446,38,5,12,211,386,2,7224,100.00%,4.6,38.2,347.55
Register,14,96,76,158,158,170,65,170,0.00%,2.6,21.0,34.56
QuotePing JSF,482,23,5,12,128,379,2,1174,100.00%,5.0,41.5,89.21
RegisterPing,222,14,4,11,20,324,2,1158,100.00%,2.3,19.1,83.34
Buy JSF,481,49,5,14,286,1172,2,3753,100.00%,5.0,41.8,271.61
Register JSF,222,19,5,14,18,363,2,399,100.00%,2.3,19.1,64.67
TOTAL,42331,29,5,29,59,385,1,14798,96.82%,423.3,3269.9,206.54
