Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,749,7,4,8,12,40,2,1196,100.00%,7.5,62.4,44.92
Login,6454,51,24,48,278,488,12,7571,100.00%,64.6,464.3,135.03
Login JSF,747,18,4,10,20,439,2,556,100.00%,7.5,62.4,69.05
Portfolio,209,9,8,14,16,27,4,46,0.00%,19.8,90.3,5.02
Quotes,455,9,8,14,17,42,4,55,0.00%,41.3,188.5,5.95
QuotesPing JSF,7593,11,4,10,16,33,2,7688,100.00%,76.1,635.0,150.52
Home,198,9,8,14,16,21,4,40,0.00%,18.4,83.9,4.20
WS1 open close,1541,26,4,9,220,465,2,1195,100.00%,15.5,.0,92.47
Quotes JSF,8101,27,5,12,215,472,2,2226,100.00%,81.3,677.8,99.28
Account,127,9,9,14,15,19,4,21,0.00%,11.8,53.8,3.45
Home JSF,3746,25,5,11,188,452,2,2221,100.00%,37.6,314.1,94.67
Portfolio JSF,3607,27,5,11,166,462,2,7529,100.00%,36.2,302.5,154.14
Buy,26,8,8,13,13,14,4,14,0.00%,2.7,12.2,2.77
QuotePing JSF,523,18,5,10,16,450,2,515,100.00%,5.3,44.1,66.50
Logout,47,9,8,15,21,47,4,47,0.00%,4.4,19.9,6.83
Buy JSF,523,25,5,11,221,436,2,812,100.00%,5.3,44.1,89.18
Update Profile,16,10,9,14,17,18,5,18,0.00%,3.1,14.3,3.56
Account JSF,2810,34,5,12,250,468,2,7582,100.00%,28.5,237.7,225.90
PortfolioPing JSF,481,23,4,9,24,487,2,854,100.00%,4.9,40.9,93.75
HomePing JSF,930,9,4,10,14,25,2,3880,100.00%,9.5,79.1,127.06
Register Page,6,1,2,2,3,3,1,3,0.00%,5.3,33.8,0.69
Logout JSF,929,33,5,14,274,537,2,1191,100.00%,9.5,79.2,114.64
RegisterPing,215,15,5,12,19,38,2,1196,100.00%,2.2,18.5,95.52
Register JSF,215,37,5,17,323,415,2,490,100.00%,2.2,18.4,100.19
Update Profile JSF,405,25,5,11,39,432,2,2069,100.00%,4.1,34.6,125.56
Register,6,84,68,76,154,154,62,154,0.00%,5.1,41.6,31.69
TOTAL,40659,27,5,28,59,455,1,7688,97.32%,406.6,3147.3,131.75
