Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,782,4,3,6,8,18,2,230,100.00%,7.9,66.1,10.49
Login,6552,41,21,43,231,308,11,1056,100.00%,65.5,471.4,78.52
Login JSF,782,26,4,10,193,283,2,3921,100.00%,7.9,65.6,156.83
Quotes,488,9,8,14,17,64,4,89,0.00%,33.7,154.2,8.99
Home,220,10,8,13,16,77,4,81,0.00%,15.1,68.9,10.36
QuotesPing JSF,7504,5,4,9,14,30,2,863,100.00%,75.4,628.6,17.69
Portfolio,240,9,8,13,16,49,4,90,0.00%,16.2,74.0,7.95
Portfolio JSF,3564,21,4,10,200,293,2,943,100.00%,35.8,299.0,74.63
Account,154,8,8,12,13,16,4,18,0.00%,10.6,48.4,2.69
Quotes JSF,7990,24,4,11,209,300,2,7431,100.00%,80.4,669.9,121.77
Buy,32,9,8,17,17,23,5,23,0.00%,2.6,12.0,4.36
Home JSF,3764,21,4,10,206,286,2,940,100.00%,37.9,316.3,68.31
Logout,55,12,10,20,22,23,6,30,0.00%,3.8,17.2,5.40
Account JSF,2802,21,4,10,204,291,2,1010,100.00%,28.2,235.6,77.50
WS1 open close,1592,25,4,8,210,301,2,2139,100.00%,16.1,.0,96.34
QuotePing JSF,501,13,4,9,15,244,2,309,100.00%,5.1,42.2,43.90
PortfolioPing JSF,460,22,4,10,200,287,2,919,100.00%,4.6,38.8,79.67
Update Profile,21,7,7,13,13,13,5,13,0.00%,2.2,10.1,2.81
Buy JSF,500,21,4,11,216,294,2,876,100.00%,5.1,42.2,71.44
Update Profile JSF,386,15,4,9,16,278,2,347,100.00%,3.9,32.9,50.98
HomePing JSF,963,5,4,10,15,29,2,39,100.00%,9.8,82.1,5.03
Logout JSF,963,20,5,10,195,282,2,941,100.00%,9.8,82.1,69.43
Register Page,15,2,3,4,4,5,2,5,0.00%,3.0,18.8,0.96
Register,15,94,87,107,160,160,53,160,0.00%,2.9,24.0,29.54
RegisterPing,213,4,4,8,10,33,2,39,100.00%,2.2,18.4,4.56
Register JSF,213,27,5,23,226,276,2,297,100.00%,2.2,18.4,67.57
TOTAL,40771,21,5,25,126,285,2,7431,96.96%,407.7,3146.4,81.11
