Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6212,58,26,50,305,463,12,7297,100.00%,62.0,445.7,211.06
Portfolio,269,13,10,27,41,50,4,71,0.00%,24.5,111.8,10.78
Quotes,521,14,11,28,38,53,4,71,0.00%,48.4,220.9,10.65
Account,166,13,11,24,36,59,4,76,0.00%,16.1,73.5,10.85
Home,235,15,10,28,50,71,4,72,0.00%,21.6,98.7,13.81
Logout,58,12,11,17,20,29,5,79,0.00%,5.4,24.6,9.94
WelcomePing JSF,723,8,4,9,12,24,2,859,100.00%,7.3,61.1,48.32
Buy,32,10,9,16,17,26,5,26,0.00%,3.4,15.7,4.90
Login JSF,723,24,5,12,35,393,2,4082,100.00%,7.3,61.1,166.88
Portfolio JSF,3668,26,5,12,220,408,2,3783,100.00%,37.0,308.5,107.85
QuotesPing JSF,7647,11,5,10,16,35,2,7258,100.00%,77.5,646.5,151.61
Quotes JSF,8177,28,5,12,186,428,2,7259,100.00%,82.5,687.6,168.55
Update Profile,20,11,10,17,22,26,4,26,0.00%,2.1,9.6,5.29
WS1 open close,1621,28,4,9,252,426,2,3788,100.00%,16.4,.0,132.00
Home JSF,3805,32,5,13,259,438,2,3791,100.00%,38.5,321.0,149.34
PortfolioPing JSF,495,30,5,12,286,411,2,1148,100.00%,5.0,42.1,103.05
Account JSF,2824,31,5,12,65,436,2,14363,100.00%,28.6,238.7,296.42
Update Profile JSF,447,24,5,11,244,376,2,549,100.00%,4.6,38.1,74.61
Register Page,14,5,2,16,16,21,1,21,0.00%,2.6,16.7,5.92
Register,14,90,79,130,130,165,44,165,0.00%,2.6,21.2,31.75
QuotePing JSF,530,39,5,13,197,487,2,7257,100.00%,5.5,45.8,328.51
Buy JSF,529,26,5,13,255,434,2,783,100.00%,5.5,45.8,89.64
HomePing JSF,900,9,5,10,14,33,2,1155,100.00%,9.4,78.0,48.14
Logout JSF,900,38,5,17,287,545,2,2027,100.00%,9.3,77.6,135.59
RegisterPing,207,5,5,9,14,30,2,37,100.00%,2.2,18.3,5.05
Register JSF,207,21,5,13,20,445,2,541,100.00%,2.2,18.1,76.14
TOTAL,40944,29,5,30,53,420,1,14363,96.75%,408.6,3151.9,171.83
