Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,686,5,3,6,7,28,2,317,100.00%,6.9,57.4,17.49
Login,5746,38,19,35,213,307,11,4072,100.00%,57.4,412.9,87.63
Login JSF,686,17,4,8,162,285,2,394,100.00%,6.9,57.5,54.92
QuotesPing JSF,7300,6,4,8,12,30,2,4067,100.00%,73.1,609.8,50.62
Home,145,9,7,14,22,43,4,73,0.00%,15.1,69.1,7.93
Quotes,342,17,7,14,21,74,4,1011,0.00%,37.4,170.8,91.26
Portfolio,172,20,7,14,17,68,4,1022,0.00%,19.2,87.6,104.85
Quotes JSF,7761,19,4,9,159,283,2,7968,100.00%,77.8,648.6,118.45
Account,96,17,7,11,13,19,4,954,0.00%,10.1,46.0,96.13
Home JSF,3650,18,4,8,149,271,2,992,100.00%,36.6,305.7,63.00
PortfolioPing JSF,520,18,4,9,157,279,2,357,100.00%,5.2,43.8,53.27
WS1 open close,1492,16,3,7,154,268,1,967,100.00%,15.0,.0,60.05
Logout,40,9,7,16,21,25,5,25,0.00%,4.2,19.4,5.23
Buy,26,9,7,16,18,20,4,20,0.00%,3.3,15.2,4.72
Portfolio JSF,3486,18,4,9,159,279,2,978,100.00%,35.1,293.0,58.87
Account JSF,2653,16,4,8,134,272,2,976,100.00%,26.8,223.6,57.55
Update Profile,17,7,7,10,11,15,4,15,0.00%,2.0,9.2,2.54
Update Profile JSF,391,26,4,10,204,294,2,1374,100.00%,4.0,33.2,92.35
HomePing JSF,855,6,4,8,13,34,2,298,100.00%,8.7,72.3,17.78
Logout JSF,854,19,4,12,172,266,2,1005,100.00%,8.7,72.3,62.06
QuotePing JSF,466,20,4,10,192,260,2,300,100.00%,4.7,39.5,56.92
Buy JSF,463,16,4,8,179,275,2,359,100.00%,4.7,39.3,53.25
RegisterPing,193,4,4,7,9,14,2,16,100.00%,2.0,16.5,2.43
Register JSF,193,16,4,10,61,268,2,335,100.00%,2.0,16.5,51.69
Register Page,5,1,2,2,3,3,1,3,0.00%,1.0,6.1,0.75
Register,5,84,68,70,164,164,59,164,0.00%,1.0,7.8,39.79
TOTAL,38243,18,4,22,78,276,1,7968,97.78%,382.1,2964.4,78.53
