Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,733,7,4,9,13,38,2,587,100.00%,7.3,61.2,29.35
Login,6230,57,28,55,321,521,12,7400,100.00%,62.4,448.5,140.90
Login JSF,731,30,5,13,36,614,2,3884,100.00%,7.3,61.2,169.52
Quotes,618,13,11,21,27,55,5,95,0.00%,50.5,230.9,9.31
QuotesPing JSF,7707,11,5,11,18,41,2,7376,100.00%,77.4,645.4,160.70
Portfolio,312,13,11,24,28,47,4,59,0.00%,28.2,129.0,8.32
Account,173,12,10,21,27,50,5,57,0.00%,14.1,64.2,8.38
Home,268,13,11,23,28,40,5,71,0.00%,22.6,103.4,8.24
Portfolio JSF,3627,35,6,13,240,506,2,14725,100.00%,36.4,304.0,297.17
Quotes JSF,8208,29,6,14,214,444,2,7378,100.00%,82.5,687.8,127.44
Logout,56,19,12,44,57,70,5,72,0.00%,4.6,21.1,16.42
Buy,45,13,12,21,25,46,5,46,0.00%,4.7,21.5,7.64
HomePing JSF,906,14,5,12,20,31,2,7375,100.00%,9.1,76.2,244.73
Logout JSF,903,23,6,14,123,388,2,731,100.00%,9.1,76.1,79.88
Home JSF,3811,32,5,13,209,418,2,7393,100.00%,38.5,321.1,201.41
Update Profile,27,9,9,15,17,18,5,18,0.00%,2.5,11.5,4.00
Account JSF,2891,32,6,14,207,548,2,7395,100.00%,29.3,244.4,214.77
WS1 open close,1599,32,5,11,253,445,2,3890,100.00%,16.2,.0,162.89
PortfolioPing JSF,549,30,5,16,309,432,2,726,100.00%,5.6,46.8,93.89
QuotePing JSF,511,25,6,12,22,566,2,794,100.00%,5.2,43.5,95.53
Update Profile JSF,408,28,5,13,231,457,2,723,100.00%,4.2,34.8,93.84
Buy JSF,510,26,5,12,221,429,2,686,100.00%,5.3,43.9,87.17
Register Page,12,6,4,12,12,15,2,15,0.00%,2.6,16.4,3.86
Register,12,191,181,279,279,306,93,306,0.00%,2.5,20.8,64.42
RegisterPing,205,6,5,12,18,32,2,43,100.00%,2.1,17.7,5.78
Register JSF,205,21,6,13,22,343,3,776,100.00%,2.1,17.7,76.64
TOTAL,41257,29,6,32,61,434,2,14725,96.31%,412.8,3181.0,171.67
