Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,5962,55,23,195,298,444,11,2114,100.00%,59.6,428.9,97.37
WelcomePing JSF,706,6,4,7,9,32,2,494,100.00%,7.1,59.2,31.05
Login JSF,706,24,4,13,213,310,2,602,100.00%,7.1,59.5,69.08
Quotes,469,28,8,32,211,267,4,286,0.00%,42.4,193.8,61.50
Home,186,27,8,30,210,267,4,284,0.00%,18.0,82.4,59.62
QuotesPing JSF,7244,6,4,10,17,32,2,672,100.00%,72.9,607.7,19.41
Portfolio,204,42,9,210,251,286,4,287,0.00%,18.1,82.8,79.76
Account,146,24,8,20,204,281,4,287,0.00%,13.2,60.4,58.38
Quotes JSF,7691,28,5,18,226,391,2,682,100.00%,77.5,645.6,79.63
Home JSF,3631,30,5,25,237,417,2,676,100.00%,36.6,305.2,85.33
Account JSF,2672,29,5,17,233,412,2,689,100.00%,26.9,224.8,82.17
Logout,49,29,13,27,175,260,4,260,0.00%,4.4,20.3,57.00
WS1 open close,1526,27,4,12,226,385,2,663,100.00%,15.4,.0,78.71
PortfolioPing JSF,504,24,5,16,198,388,2,518,100.00%,5.1,42.5,71.17
Buy,30,65,9,261,263,280,4,280,0.00%,4.4,20.2,103.33
QuotePing JSF,456,27,5,13,220,464,2,601,100.00%,4.6,38.7,84.41
Portfolio JSF,3437,28,5,18,239,395,2,687,100.00%,34.8,290.2,80.41
Buy JSF,455,32,5,122,241,410,2,596,100.00%,4.6,38.6,85.66
Update Profile,24,10,8,20,24,24,5,24,0.00%,4.3,19.6,5.75
HomePing JSF,874,6,4,11,19,33,2,234,100.00%,8.9,74.6,9.60
Logout JSF,874,34,5,139,260,428,2,671,100.00%,8.9,74.6,91.19
Register Page,11,17,2,8,8,160,1,160,0.00%,1.8,11.3,45.16
RegisterPing,194,7,4,10,13,32,2,279,100.00%,2.0,16.8,20.38
Update Profile JSF,398,20,5,12,144,333,2,422,100.00%,4.1,34.5,64.77
Register,11,130,79,310,310,346,52,346,0.00%,1.8,14.4,97.51
Register JSF,194,29,5,17,237,328,2,455,100.00%,2.0,16.8,78.69
TOTAL,38654,27,5,31,216,393,1,2114,97.08%,386.6,2986.1,75.66
