Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,731,8,5,11,17,40,2,380,100.00%,7.3,61.0,23.55
Login,6076,68,33,170,329,507,13,1150,100.00%,60.8,437.2,111.87
Login JSF,729,42,6,18,246,481,2,7811,100.00%,7.3,61.0,304.10
Quotes,454,42,13,179,245,313,4,423,0.00%,37.0,169.1,76.79
Home,189,40,12,173,226,275,4,353,0.00%,15.3,69.8,70.54
Portfolio,231,36,12,81,211,355,5,404,0.00%,18.5,84.7,70.96
Account,149,50,14,223,251,324,5,329,0.00%,12.3,56.3,84.37
Home JSF,3590,33,6,25,252,471,2,889,100.00%,36.0,300.8,96.78
QuotesPing JSF,7413,9,6,16,23,42,2,879,100.00%,74.5,621.1,22.14
Quotes JSF,7894,36,6,28,283,492,2,934,100.00%,79.4,661.5,106.33
Account JSF,2611,35,6,20,286,570,2,840,100.00%,26.3,219.3,105.37
Buy,35,18,9,24,43,157,4,157,0.00%,3.4,15.5,28.55
Logout,55,37,18,84,157,216,5,236,0.00%,4.6,21.0,53.79
Portfolio JSF,3338,34,6,22,275,470,2,850,100.00%,33.8,282.0,100.06
Update Profile,21,49,10,184,185,242,4,242,0.00%,2.3,10.5,74.20
HomePing JSF,904,8,6,14,21,42,2,435,100.00%,9.2,76.7,19.77
WS1 open close,1492,26,5,12,203,430,2,802,100.00%,15.2,.0,86.10
QuotePing JSF,490,29,6,18,189,467,2,856,100.00%,5.0,41.6,92.97
Logout JSF,903,34,6,27,278,474,3,882,100.00%,9.2,76.6,98.45
PortfolioPing JSF,462,39,6,132,279,484,2,913,100.00%,4.7,39.5,109.41
Buy JSF,488,32,6,20,238,501,2,802,100.00%,5.0,41.7,103.75
Update Profile JSF,387,22,6,17,187,342,2,505,100.00%,4.0,33.1,65.60
Register Page,12,14,3,5,5,135,2,135,0.00%,1.6,10.1,36.42
Register,12,208,214,296,296,337,94,337,0.00%,1.6,12.8,75.34
RegisterPing,205,10,6,14,21,37,2,667,100.00%,2.1,17.9,46.40
Register JSF,205,34,7,21,329,464,3,812,100.00%,2.1,17.9,102.26
TOTAL,39076,34,7,44,226,459,2,7811,97.04%,390.9,3022.6,100.16
