Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,722,6,4,9,15,38,2,460,100.00%,7.2,60.2,18.85
Login,6392,57,30,74,305,478,13,2139,100.00%,63.9,459.5,95.90
Login JSF,720,28,5,18,262,378,2,605,100.00%,7.2,60.2,84.68
Quotes,597,15,10,17,21,250,4,289,0.00%,24.3,111.1,31.41
Portfolio,309,15,10,17,22,254,4,279,0.00%,12.6,57.8,34.44
Home,244,13,10,19,24,78,4,253,0.00%,10.1,46.3,22.05
QuotesPing JSF,7541,8,5,12,19,43,2,606,100.00%,75.9,632.9,24.09
Home JSF,3777,24,6,14,149,364,2,4181,100.00%,38.0,317.2,99.17
Portfolio JSF,3474,30,6,16,211,396,2,7472,100.00%,35.0,291.7,170.62
Account,191,10,10,16,18,25,4,38,0.00%,8.0,36.3,4.47
Quotes JSF,8002,31,6,17,247,400,2,21860,100.00%,80.6,671.9,271.39
Account JSF,2721,28,6,16,246,379,2,3920,100.00%,27.4,228.8,109.35
WS1 open close,1504,22,5,11,142,372,2,562,100.00%,15.2,.0,71.59
Buy,33,9,8,14,15,24,6,24,0.00%,1.8,8.3,3.92
Logout,48,14,11,21,31,121,5,121,0.00%,2.0,9.1,16.75
HomePing JSF,894,16,5,11,17,48,2,7473,100.00%,9.1,75.5,250.96
PortfolioPing JSF,496,22,6,15,77,370,2,649,100.00%,5.0,41.9,71.84
Logout JSF,893,23,6,15,145,356,2,615,100.00%,9.0,75.4,72.19
Update Profile,22,10,9,17,18,19,6,19,0.00%,1.0,4.6,4.16
Update Profile JSF,411,21,6,13,31,368,2,564,100.00%,4.2,35.2,71.78
Register Page,7,3,3,4,8,8,2,8,0.00%,.7,4.3,1.99
Register,7,147,151,188,208,208,82,208,0.00%,.7,5.5,41.48
QuotePing JSF,466,29,6,17,271,408,2,594,100.00%,4.8,40.2,86.79
Buy JSF,464,27,6,14,211,373,2,2126,100.00%,4.8,40.1,120.45
RegisterPing,207,7,5,11,20,36,2,355,100.00%,2.2,18.3,24.81
Register JSF,207,22,6,15,156,364,3,583,100.00%,2.2,18.2,71.82
TOTAL,40349,27,6,35,98,387,2,21860,96.39%,403.4,3110.4,151.36
