Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,57,4436,162,3699,7839,99853,3,102576,100.00%,.3,2.9,18612.71
Login,369,11268,585,11747,126697,168563,87,169309,100.00%,1.7,12.0,36177.44
Login JSF,55,3171,154,608,14661,56495,19,65269,100.00%,.4,3.6,11840.62
Quotes,396,420,107,390,484,4405,15,58679,0.00%,3.2,14.5,3033.44
Account,111,274,109,459,513,2767,13,4452,0.00%,2.4,10.9,558.20
Home,161,208,106,369,489,1910,11,3954,0.00%,3.2,14.5,454.20
QuotesPing JSF,351,1951,160,2621,4466,55327,7,99093,100.00%,2.1,17.8,10142.05
Portfolio,174,287,93,389,476,6380,11,11735,0.00%,2.7,12.1,1121.57
Quotes JSF,372,1961,192,3153,5100,57501,8,96901,100.00%,2.3,19.1,10121.92
Logout,50,1244,93,6959,7232,7757,12,7757,0.00%,1.1,4.8,2583.02
Home JSF,171,1652,187,3645,5063,10466,12,96830,100.00%,1.1,8.9,8277.93
Buy,21,591,142,510,4152,4254,29,4254,0.00%,.5,2.1,1181.88
Account JSF,117,1738,197,3642,4941,39955,14,56703,100.00%,1.0,8.6,6711.68
WS1 open close,68,1317,192,3443,5746,9931,17,22563,100.00%,.7,.0,3271.26
Portfolio JSF,149,1148,174,3797,5022,12818,8,33679,100.00%,1.7,14.2,3328.55
QuotePing JSF,27,970,167,453,7116,9744,10,9744,100.00%,.4,3.7,2359.26
Buy JSF,26,422,153,356,1447,5599,10,5599,100.00%,.6,4.7,1073.42
Update Profile,12,120,113,177,177,224,33,224,0.00%,1.3,6.1,53.05
PortfolioPing JSF,25,3226,152,644,5453,67011,11,67011,100.00%,.2,1.3,13086.14
HomePing JSF,44,948,183,3341,3683,8943,5,8943,100.00%,1.0,8.1,1983.22
Logout JSF,44,916,146,3480,3963,5804,8,5804,100.00%,.9,7.6,1490.44
RegisterPing,7,617,266,975,2189,2189,41,2189,100.00%,.2,1.4,712.58
Update Profile JSF,17,471,161,631,1227,4156,15,4156,100.00%,.4,3.2,965.70
Register JSF,7,1740,239,1744,9528,9528,32,9528,100.00%,.2,1.4,3227.37
Register Page,9,1581,1813,2172,2476,2476,60,2476,0.00%,.2,1.3,755.62
Register,9,40527,32247,33179,107226,107226,31556,107226,11.11%,.1,.5,23585.56
TOTAL,2849,2705,169,2933,6321,96097,3,169309,66.94%,12.8,86.7,15278.94
