Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6658,48,22,44,265,368,11,7436,100.00%,66.6,479.1,182.17
WelcomePing JSF,744,6,4,7,10,37,2,522,100.00%,7.4,62.1,25.40
Login JSF,743,24,4,10,208,474,2,2078,100.00%,7.5,62.3,107.58
Quotes,608,9,8,15,19,28,4,55,0.00%,40.7,185.9,4.96
Home,272,9,8,14,17,27,4,33,0.00%,18.8,85.8,4.55
Account,188,10,9,16,19,31,4,48,0.00%,12.5,57.1,5.67
Portfolio,285,9,8,15,19,29,4,56,0.00%,19.9,90.7,5.33
QuotesPing JSF,7881,8,4,9,13,33,2,7562,100.00%,79.1,659.9,109.77
Quotes JSF,8395,22,4,11,187,333,2,7418,100.00%,84.4,703.4,112.51
Portfolio JSF,3652,28,4,10,155,346,2,14772,100.00%,36.8,306.7,295.31
Logout,53,11,8,21,23,27,5,33,0.00%,3.5,15.8,6.29
Home JSF,3774,23,4,10,200,341,2,7419,100.00%,38.0,317.4,139.71
QuotePing JSF,526,27,4,11,186,335,2,3848,100.00%,5.3,44.3,179.50
Buy,38,9,9,14,15,18,5,18,0.00%,3.7,16.7,3.43
Buy JSF,525,17,5,10,23,331,2,527,100.00%,5.3,44.3,60.11
Update Profile,25,10,10,14,19,32,5,32,0.00%,2.0,9.1,5.57
Account JSF,2856,24,4,11,219,360,2,1181,100.00%,29.0,242.3,78.33
Update Profile JSF,401,23,4,10,193,324,2,1183,100.00%,4.1,34.3,86.48
WS1 open close,1553,25,4,7,118,330,1,7419,100.00%,15.8,.0,221.32
HomePing JSF,914,9,4,9,14,45,2,2194,100.00%,9.3,77.9,77.68
Register Page,11,2,2,3,3,4,2,4,0.00%,.8,5.2,0.66
Logout JSF,913,23,4,11,206,343,2,615,100.00%,9.3,77.8,72.24
PortfolioPing JSF,493,22,4,9,122,519,2,610,100.00%,5.1,42.3,79.96
Register,11,95,82,133,133,175,64,175,0.00%,.8,6.6,31.50
RegisterPing,203,7,4,8,14,26,2,509,100.00%,2.1,17.7,35.54
Register JSF,203,16,4,10,21,290,2,488,100.00%,2.1,17.7,58.01
TOTAL,41925,23,5,25,52,334,1,14772,96.44%,419.6,3237.2,151.34
