Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6018,67,31,189,350,486,13,1057,100.00%,60.0,431.6,114.62
Quotes,676,30,11,93,172,221,5,340,0.00%,41.7,190.6,53.48
Portfolio,310,29,12,111,162,223,4,346,0.00%,19.0,86.8,52.16
Account,210,24,11,26,118,221,4,339,0.00%,12.8,58.3,47.71
Home,295,26,12,32,141,218,5,336,0.00%,18.9,86.3,47.15
Buy,46,25,11,22,136,251,6,251,0.00%,3.2,14.8,48.77
Logout,62,30,13,107,125,165,5,188,0.00%,3.9,17.8,41.83
WelcomePing JSF,696,8,5,11,15,50,2,379,100.00%,7.1,58.9,23.41
Login JSF,696,33,6,20,249,440,2,991,100.00%,7.1,58.9,98.43
Update Profile,29,21,10,26,148,162,5,162,0.00%,2.4,10.8,36.92
Portfolio JSF,3432,35,6,21,282,446,2,2144,100.00%,34.8,290.0,108.35
QuotesPing JSF,7495,10,5,13,21,46,2,4729,100.00%,76.4,637.2,67.92
Quotes JSF,7983,36,7,27,283,442,2,7760,100.00%,81.1,676.3,141.58
WS1 open close,1545,31,5,21,261,391,2,1013,100.00%,15.7,.0,95.51
Home JSF,3713,36,6,34,287,440,2,1033,100.00%,37.8,315.2,107.84
HomePing JSF,853,7,5,13,20,44,2,208,100.00%,8.7,72.7,10.50
Account JSF,2734,33,6,20,281,431,2,1042,100.00%,27.9,232.3,100.23
Logout JSF,849,32,7,21,267,421,3,1041,100.00%,8.7,72.4,96.29
Register Page,16,9,3,5,14,93,1,93,0.00%,2.2,14.2,21.88
QuotePing JSF,502,32,6,25,268,409,3,1032,100.00%,5.2,43.2,92.66
Register,16,127,91,212,231,231,77,231,0.00%,2.2,17.8,55.31
Buy JSF,502,29,6,22,243,408,2,524,100.00%,5.2,43.2,79.78
PortfolioPing JSF,507,35,6,61,295,433,3,918,100.00%,5.3,43.9,99.89
Update Profile JSF,388,25,6,16,173,359,3,488,100.00%,4.0,33.7,71.50
RegisterPing,191,7,6,13,18,28,2,41,100.00%,2.0,17.0,5.45
Register JSF,191,37,7,18,197,952,2,1007,100.00%,2.0,17.0,138.01
TOTAL,39955,33,7,41,228,428,1,7760,95.85%,398.6,3064.9,105.99
