Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6191,45,24,43,235,404,12,755,100.00%,62.0,445.6,78.75
Portfolio,159,9,8,14,17,26,5,43,0.00%,15.6,71.4,5.09
Quotes,329,10,8,15,20,44,5,49,0.00%,31.9,145.9,7.11
Home,138,10,8,15,22,43,5,62,0.00%,14.1,64.2,7.70
Account,109,8,8,15,19,23,5,26,0.00%,11.0,50.4,4.09
Logout,54,12,9,23,26,28,5,30,0.00%,5.1,23.2,7.23
WelcomePing JSF,716,5,4,8,10,22,2,259,100.00%,7.2,60.2,10.07
Login JSF,715,22,5,12,180,391,2,641,100.00%,7.2,60.2,73.99
Portfolio JSF,3442,24,5,12,166,361,2,7499,100.00%,34.8,290.2,146.38
Buy,12,8,8,10,10,12,6,12,0.00%,2.7,12.5,1.80
WS1 open close,1450,20,4,9,176,348,2,666,100.00%,14.7,.0,65.86
QuotesPing JSF,7233,6,4,9,15,31,2,3876,100.00%,73.2,610.4,46.97
Home JSF,3635,20,5,12,146,345,2,692,100.00%,36.8,307.2,65.99
Quotes JSF,7715,22,5,13,176,352,2,813,100.00%,78.1,651.3,70.46
Update Profile,14,9,9,16,16,24,6,24,0.00%,1.6,7.4,4.64
Account JSF,2690,21,5,13,187,347,2,685,100.00%,27.3,227.6,65.36
PortfolioPing JSF,471,23,5,13,192,353,2,391,100.00%,4.8,39.9,66.63
HomePing JSF,888,5,4,10,15,31,2,37,100.00%,9.0,75.2,5.18
Logout JSF,886,24,5,13,141,374,2,3876,100.00%,9.0,75.1,144.83
QuotePing JSF,493,25,5,15,169,381,2,688,100.00%,5.1,42.4,79.70
Buy JSF,493,21,5,13,178,356,2,586,100.00%,5.1,42.4,66.60
Register Page,14,2,3,4,4,4,2,4,0.00%,1.7,10.6,0.70
Register,14,107,99,136,136,185,77,185,0.00%,1.7,13.6,28.85
RegisterPing,203,5,4,11,15,24,2,32,100.00%,2.1,17.5,4.55
Register JSF,202,26,5,18,171,383,2,648,100.00%,2.1,17.5,82.76
Update Profile JSF,367,21,5,11,174,371,2,699,100.00%,3.8,31.8,70.60
TOTAL,38633,22,5,28,56,349,2,7499,97.82%,386.8,3001.9,78.68
