Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login,6567,54,24,55,304,457,11,7373,100.00%,65.5,471.3,161.35
WelcomePing JSF,765,5,4,7,11,31,2,279,100.00%,7.7,64.0,15.63
Quotes,535,23,12,60,92,180,5,221,0.00%,48.8,222.9,33.97
Portfolio,250,18,11,26,66,150,5,212,0.00%,22.0,100.4,26.70
Home,232,22,12,43,72,194,5,221,0.00%,20.9,95.6,33.36
Login JSF,765,28,5,15,253,406,2,778,100.00%,7.7,63.9,90.90
Account,159,20,12,45,78,110,6,137,0.00%,14.4,65.8,23.46
Home JSF,3871,34,5,14,245,416,2,14479,100.00%,38.8,324.1,288.11
QuotesPing JSF,7860,6,4,10,15,31,1,749,100.00%,79.3,661.8,18.16
Quotes JSF,8385,29,5,15,257,410,2,7361,100.00%,84.3,703.0,133.36
Account JSF,2846,32,5,13,249,441,2,7360,100.00%,28.7,239.1,183.84
Buy,38,13,9,19,24,70,5,70,0.00%,5.4,24.6,12.19
Logout,65,19,14,36,57,68,5,80,0.00%,6.0,27.3,15.43
WS1 open close,1599,29,4,12,287,409,2,762,100.00%,16.1,.0,90.96
HomePing JSF,955,6,4,11,19,31,2,49,100.00%,9.7,80.8,5.82
Logout JSF,955,22,5,13,78,374,2,786,100.00%,9.7,80.5,74.82
Portfolio JSF,3621,28,5,15,254,406,2,2080,100.00%,36.6,305.7,94.02
Update Profile,21,14,8,25,32,82,5,82,0.00%,2.2,9.9,16.35
QuotePing JSF,525,34,5,14,267,389,2,3811,100.00%,5.4,44.9,183.23
Buy JSF,525,32,5,12,229,376,2,3810,100.00%,5.4,44.9,184.63
PortfolioPing JSF,494,27,5,11,241,432,2,796,100.00%,5.1,42.5,88.12
Register Page,20,8,3,7,29,94,1,94,0.00%,3.6,22.6,20.37
Register,20,97,85,150,152,165,62,165,0.00%,3.5,28.6,28.93
Update Profile JSF,398,40,5,11,204,388,2,7362,100.00%,4.1,34.3,374.54
RegisterPing,225,6,4,10,14,34,2,39,100.00%,2.4,19.6,5.32
Register JSF,225,92,5,13,262,389,3,14483,100.00%,2.3,19.5,964.78
TOTAL,41921,28,5,29,114,402,1,14483,96.80%,418.4,3231.7,163.01
