Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,726,12,5,17,29,178,2,646,100.00%,7.3,60.6,36.18
Login,5990,76,37,214,333,530,12,861,100.00%,59.9,430.9,109.36
Login JSF,726,30,6,31,236,447,2,600,100.00%,7.3,60.7,85.08
Quotes,534,38,18,125,196,231,4,286,0.00%,35.3,161.2,54.42
QuotesPing JSF,7694,11,6,21,32,76,2,1360,100.00%,77.3,644.9,36.73
Home,210,31,18,48,158,210,6,263,0.00%,14.5,66.4,43.72
Portfolio,253,38,19,108,191,247,5,268,0.00%,17.2,78.5,54.02
Account,159,37,17,158,190,240,5,261,0.00%,10.6,48.6,57.51
Quotes JSF,8186,36,7,58,250,498,2,7493,100.00%,82.4,686.5,127.01
Portfolio JSF,3505,36,7,83,259,452,2,818,100.00%,35.3,294.8,94.54
Logout,59,50,27,165,186,213,7,272,0.00%,4.0,18.1,59.59
Account JSF,2759,34,7,58,234,437,2,5106,100.00%,27.9,232.7,128.98
Buy,35,35,15,40,168,219,7,219,0.00%,2.7,12.1,54.08
PortfolioPing JSF,514,36,7,71,242,477,2,622,100.00%,5.2,43.4,95.79
WS1 open close,1540,33,5,41,248,424,2,780,100.00%,15.6,.0,92.71
Home JSF,3777,32,6,42,227,425,2,822,100.00%,38.2,319.0,87.41
HomePing JSF,881,12,6,19,32,73,2,674,100.00%,8.9,74.5,36.06
Update Profile,23,22,13,31,55,187,5,187,0.00%,1.7,7.7,36.62
Logout JSF,879,33,7,46,218,462,2,758,100.00%,8.9,74.4,89.01
QuotePing JSF,502,33,7,62,219,453,2,667,100.00%,5.1,42.9,91.24
Buy JSF,500,43,7,179,283,523,2,724,100.00%,5.2,43.0,107.73
Register Page,15,4,4,5,10,11,2,11,0.00%,1.2,7.7,2.63
Register,15,261,257,336,346,402,166,402,0.00%,1.2,9.8,70.26
Update Profile JSF,408,40,7,121,285,452,2,1048,100.00%,4.2,35.3,103.10
RegisterPing,194,13,6,20,29,96,2,524,100.00%,2.1,17.4,42.57
Register JSF,194,26,7,29,132,318,3,637,100.00%,2.1,17.4,70.10
TOTAL,40278,36,8,63,222,451,2,7493,96.76%,402.9,3114.5,98.14
